pcd,pcd2,pcds,dointr,doterm,usertype,oseast1m,osnrth1m,osgrdind,oa11,cty,ced,laua,ward,hlthau,nhser,ctry,rgn,pcon,eer,teclec,ttwa,pct,nuts,park,lsoa11,msoa11,wz11,ccg,bua11,buasd11,ru11ind,oac11,lat,long,lep1,lep2,pfa,imd,calncv,stp
SW120AA,SW12 0AA,SW12 0AA,198001,,0,529180,173778,1,E00015953,E13000001,E99999999,E09000022,E05000433,E18000007,E40000003,E92000001,E12000007,E14000978,E15000007,E24000014,E30000234,E16000058,E05000433,E99999999,E01003161,E02000640,E33035163,E38000092,E34004707,E35000161,A1,3A2,51.448263,-0.142435,E37000023,,E23000001,15308,E56000010,E54000030
SW120AB,SW12 0AB,SW12 0AB,198001,,1,529018,173735,1,E00015958,E13000001,E99999999,E09000022,E05000433,E18000007,E40000003,E92000001,E12000007,E14000978,E15000007,E24000014,E30000234,E16000058,E05000433,E99999999,E01003157,E02000640,E33035167,E38000092,E34004707,E35000161,A1,3D2,51.447913,-0.14478,E37000023,,E23000001,20129,E56000010,E54000030
SW120AD,SW12 0AD,SW12 0AD,198001,199012,0,529200,173700,8,E00015960,E13000001,E99999999,E09000022,E05000433,E18000007,E40000003,E92000001,E12000007,E14000978,E15000007,E24000014,E30000234,E16000058,E05000433,E99999999,E01003161,E02000640,E33035163,E38000092,E34004707,E35000161,A1,3B1,51.447557,-0.142176,E37000023,,E23000001,15308,E56000010,E54000030
SW120AE,SW12 0AE,SW12 0AE,198001,201402,0,529238,173712,1,E00015960,E13000001,E99999999,E09000022,E05000433,E18000007,E40000003,E92000001,E12000007,E14000978,E15000007,E24000014,E30000234,E16000058,E05000433,E99999999,E01003161,E02000640,E33035163,E38000092,E34004707,E35000161,A1,3B1,51.447657,-0.141625,E37000023,,E23000001,15308,E56000010,E54000030
SW120AF,SW12 0AF,SW12 0AF,199002,,0,529186,173677,1,E00015960,E13000001,E99999999,E09000022,E05000433,E18000007,E40000003,E92000001,E12000007,E14000978,E15000007,E24000014,E30000234,E16000058,E05000433,E99999999,E01003161,E02000640,E33035163,E38000092,E34004707,E35000161,A1,3B1,51.447354,-0.142385,E37000023,,E23000001,15308,E56000010,E54000030
SW120AG,SW12 0AG,SW12 0AG,198001,199012,0,529300,173700,8,E00015960,E13000001,E99999999,E09000022,E05000433,E18000007,E40000003,E92000001,E12000007,E14000978,E15000007,E24000014,E30000234,E16000058,E05000433,E99999999,E01003161,E02000640,E33035163,E38000092,E34004707,E35000161,A1,3B1,51.447535,-0.140737,E37000023,,E23000001,15308,E56000010,E54000030
SW120AH,SW12 0AH,SW12 0AH,198001,,0,529354,173779,1,E00015953,E13000001,E99999999,E09000022,E05000433,E18000007,E40000003,E92000001,E12000007,E14000978,E15000007,E24000014,E30000234,E16000058,E05000433,E99999999,E01003161,E02000640,E33035163,E38000092,E34004707,E35000161,A1,3A2,51.448232,-0.139932,E37000023,,E23000001,15308,E56000010,E54000030
SW120AJ,SW12 0AJ,SW12 0AJ,198001,,0,529574,173735,1,E00015962,E13000001,E99999999,E09000022,E05000433,E18000007,E40000003,E92000001,E12000007,E14000978,E15000007,E24000014,E30000234,E16000058,E05000433,E99999999,E01003163,E02000640,E33035166,E38000092,E34004707,E35000161,A1,2D2,51.447787,-0.136784,E37000023,,E23000001,18787,E56000010,E54000030
SW120AL,SW12 0AL,SW12 0AL,198001,,0,529631,173782,1,E00015955,E13000001,E99999999,E09000022,E05000433,E18000007,E40000003,E92000001,E12000007,E14000978,E15000007,E24000014,E30000234,E16000058,E05000433,E99999999,E01003163,E02000640,E33035166,E38000092,E34004707,E35000161,A1,4A3,51.448196,-0.135947,E37000023,,E23000001,18787,E56000010,E54000030
SW120AN,SW12 0AN,SW12 0AN,198001,,0,529643,173735,1,E00015955,E13000001,E99999999,E09000022,E05000433,E18000007,E40000003,E92000001,E12000007,E14000978,E15000007,E24000014,E30000234,E16000058,E05000433,E99999999,E01003163,E02000640,E33035166,E38000092,E34004707,E35000161,A1,4A3,51.447771,-0.135792,E37000023,,E23000001,18787,E56000010,E54000030
SW120AP,SW12 0AP,SW12 0AP,198001,,0,529972,173758,1,E00015951,E13000001,E99999999,E09000022,E05000433,E18000007,E40000003,E92000001,E12000007,E14000978,E15000007,E24000014,E30000234,E16000058,E05000433,E99999999,E01003162,E02000639,E33035162,E38000092,E34004707,E35000161,A1,3B1,51.447903,-0.131026,E37000023,,E23000001,9410,E56000010,E54000030
SW120AQ,SW12 0AQ,SW12 0AQ,198001,,0,529261,173807,1,E00015953,E13000001,E99999999,E09000022,E05000433,E18000007,E40000003,E92000001,E12000007,E14000978,E15000007,E24000014,E30000234,E16000058,E05000433,E99999999,E01003161,E02000640,E33035163,E38000092,E34004707,E35000161,A1,3A2,51.448505,-0.141259,E37000023,,E23000001,15308,E56000010,E54000030
SW120AR,SW12 0AR,SW12 0AR,198001,,0,529847,173716,1,E00015951,E13000001,E99999999,E09000022,E05000433,E18000007,E40000003,E92000001,E12000007,E14000978,E15000007,E24000014,E30000234,E16000058,E05000433,E99999999,E01003162,E02000639,E33035162,E38000092,E34004707,E35000161,A1,3B1,51.447553,-0.132865,E37000023,,E23000001,9410,E56000010,E54000030
SW120AS,SW12 0AS,SW12 0AS,198001,,0,529932,173703,1,E00015966,E13000001,E99999999,E09000022,E05000433,E18000007,E40000003,E92000001,E12000007,E14000978,E15000007,E24000014,E30000234,E16000058,E05000433,E99999999,E01003163,E02000640,E33035164,E38000092,E34004707,E35000161,A1,4C3,51.447417,-0.131647,E37000023,,E23000001,18787,E56000010,E54000030
SW120AT,SW12 0AT,SW12 0AT,198001,,0,529910,173630,1,E00015966,E13000001,E99999999,E09000022,E05000433,E18000007,E40000003,E92000001,E12000007,E14000978,E15000007,E24000014,E30000234,E16000058,E05000433,E99999999,E01003163,E02000640,E33035164,E38000092,E34004707,E35000161,A1,4C3,51.446766,-0.13199,E37000023,,E23000001,18787,E56000010,E54000030
SW120AU,SW12 0AU,SW12 0AU,198001,,0,529925,173508,1,E00015966,E13000001,E99999999,E09000022,E05000433,E18000007,E40000003,E92000001,E12000007,E14000978,E15000007,E24000014,E30000234,E16000058,E05000433,E99999999,E01003163,E02000640,E33035164,E38000092,E34004707,E35000161,A1,4C3,51.445666,-0.131819,E37000023,,E23000001,18787,E56000010,E54000030
SW120AW,SW12 0AW,SW12 0AW,198001,,0,529765,173713,1,E00015955,E13000001,E99999999,E09000022,E05000433,E18000007,E40000003,E92000001,E12000007,E14000978,E15000007,E24000014,E30000234,E16000058,E05000433,E99999999,E01003163,E02000640,E33035166,E38000092,E34004707,E35000161,A1,4A3,51.447545,-0.134045,E37000023,,E23000001,18787,E56000010,E54000030
SW120AX,SW12 0AX,SW12 0AX,198001,,0,529854,173383,1,E00015967,E13000001,E99999999,E09000022,E05000433,E18000007,E40000003,E92000001,E12000007,E14000978,E15000007,E24000014,E30000234,E16000058,E05000433,E99999999,E01003163,E02000640,E33035164,E38000092,E34004707,E35000161,A1,3A1,51.444559,-0.132886,E37000023,,E23000001,18787,E56000010,E54000030
SW120AY,SW12 0AY,SW12 0AY,198001,,0,529901,173387,1,E00015971,E13000001,E99999999,E09000022,E05000433,E18000007,E40000003,E92000001,E12000007,E14000978,E15000007,E24000014,E30000234,E16000058,E05000433,E99999999,E01003163,E02000640,E33035164,E38000092,E34004707,E35000161,A1,4C3,51.444584,-0.132209,E37000023,,E23000001,18787,E56000010,E54000030
SW120AZ,SW12 0AZ,SW12 0AZ,198001,,0,529829,173502,1,E00015971,E13000001,E99999999,E09000022,E05000433,E18000007,E40000003,E92000001,E12000007,E14000978,E15000007,E24000014,E30000234,E16000058,E05000433,E99999999,E01003163,E02000640,E33035164,E38000092,E34004707,E35000161,A1,4C3,51.445634,-0.133202,E37000023,,E23000001,18787,E56000010,E54000030
SW120BA,SW12 0BA,SW12 0BA,198001,,0,529843,173569,1,E00015971,E13000001,E99999999,E09000022,E05000433,E18000007,E40000003,E92000001,E12000007,E14000978,E15000007,E24000014,E30000234,E16000058,E05000433,E99999999,E01003163,E02000640,E33035164,E38000092,E34004707,E35000161,A1,4C3,51.446233,-0.132976,E37000023,,E23000001,18787,E56000010,E54000030
SW120BB,SW12 0BB,SW12 0BB,198001,,0,529863,173651,1,E00015966,E13000001,E99999999,E09000022,E05000433,E18000007,E40000003,E92000001,E12000007,E14000978,E15000007,E24000014,E30000234,E16000058,E05000433,E99999999,E01003163,E02000640,E33035164,E38000092,E34004707,E35000161,A1,4C3,51.446966,-0.132658,E37000023,,E23000001,18787,E56000010,E54000030
SW120BD,SW12 0BD,SW12 0BD,198001,,0,529949,173646,1,E00015957,E13000001,E99999999,E09000022,E05000433,E18000007,E40000003,E92000001,E12000007,E14000978,E15000007,E24000014,E30000234,E16000058,E05000433,E99999999,E01003162,E02000639,E33035162,E38000092,E34004707,E35000161,A1,3B1,51.446901,-0.131423,E37000023,,E23000001,9410,E56000010,E54000030
SW120BE,SW12 0BE,SW12 0BE,201409,201504,0,529285,173666,1,E00015960,E13000001,E99999999,E09000022,E05000433,E18000007,E40000003,E92000001,E12000007,E14000978,E15000007,E24000014,E30000234,E16000058,E05000433,E99999999,E01003161,E02000640,E33035163,E38000092,E34004707,E35000161,A1,3B1,51.447233,-0.140966,E37000023,,E23000001,15308,E56000010,E54000030
SW120BF,SW12 0BF,SW12 0BF,201003,,0,529078,173256,1,E00015969,E13000001,E99999999,E09000022,E05000433,E18000007,E40000003,E92000001,E12000007,E14000978,E15000007,E24000014,E30000234,E16000058,E05000433,E99999999,E01003157,E02000640,E33035167,E38000092,E34004707,E35000161,A1,3D2,51.443595,-0.144092,E37000023,,E23000001,20129,E56000010,E54000030
SW120BG,SW12 0BG,SW12 0BG,199007,,0,529901,173469,1,E00015971,E13000001,E99999999,E09000022,E05000433,E18000007,E40000003,E92000001,E12000007,E14000978,E15000007,E24000014,E30000234,E16000058,E05000433,E99999999,E01003163,E02000640,E33035164,E38000092,E34004707,E35000161,A1,4C3,51.445321,-0.132179,E37000023,,E23000001,18787,E56000010,E54000030
SW120BH,SW12 0BH,SW12 0BH,198001,,0,529042,174363,1,E00015269,E13000001,E99999999,E09000022,E05000418,E18000007,E40000003,E92000001,E12000007,E14000978,E15000007,E24000014,E30000234,E16000058,E05000418,E99999999,E01003030,E02000636,E33035149,E38000092,E34004707,E35000161,A1,2D2,51.453552,-0.144206,E37000023,,E23000001,17315,E56000010,E54000030
SW120BJ,SW12 0BJ,SW12 0BJ,200112,200302,1,528588,173536,1,E00022496,E13000001,E99999999,E09000032,E05000610,E18000007,E40000003,E92000001,E12000007,E14000549,E15000007,E24000014,E30000234,E16000061,E05000610,E99999999,E01004474,E02000943,E33036573,E38000193,E34004707,E35000095,A1,2D3,51.446223,-0.151037,E37000023,,E23000001,16534,E57000003,E54000031
