TransactionID,Price,Date,PostCode,PropertyType,IsNew,Duration,PAON,SAON,Street,Locality,Town,District,County
"{F5BAD8EE-DE09-468D-AA16-FE3F37F818D0}",289950,2005-05-31 00:00:00.0000000,"SW12 9NU","F","N","L","33","","HAZELBOURNE ROAD","LONDON","LONDON","LAMBETH","GREATER LONDON"
"{83F5BAF5-E120-4378-9557-8D84CA70ADAA}",410000,2005-01-28 00:00:00.0000000,"SW12 0JD","T","N","F","154","","HYDETHORPE ROAD","","LONDON","LAMBETH","GREATER LONDON"
"{266236D9-1551-4D10-8B31-FE49AE4876AB}",415000,2005-09-30 00:00:00.0000000,"SW12 0EP","T","N","F","122","","CAMBRAY ROAD","","LONDON","LAMBETH","GREATER LONDON"
"{0F9FD0F7-72E0-47C7-B68B-FFAF8B7CA0A8}",272600,2005-12-09 00:00:00.0000000,"SW12 9RP","F","N","L","105","GROUND FLOOR FLAT","FERNLEA ROAD","","LONDON","WANDSWORTH","GREATER LONDON"
"{38948721-602F-4799-A0CF-8D8E071B49F9}",220000,2005-06-01 00:00:00.0000000,"SW12 0ER","F","N","L","71A","","CAMBRAY ROAD","LONDON","LONDON","LAMBETH","GREATER LONDON"
"{5F27022D-0FA0-4632-9D9B-1DE7910A71A3}",92000,2005-01-17 00:00:00.0000000,"SW12 0JF","F","N","L","137","","HYDETHORPE ROAD","LONDON","LONDON","LAMBETH","GREATER LONDON"
"{25214228-89E1-42AE-8318-82E93D259493}",577100,2005-06-17 00:00:00.0000000,"SW12 8ND","T","N","F","7","","BIRCHLANDS AVENUE","LONDON","LONDON","WANDSWORTH","GREATER LONDON"
"{51BF1ED0-93F0-4C0D-BCFE-FF29C7FF4016}",540000,2005-08-18 00:00:00.0000000,"SW12 0PG","T","N","F","56","","SCHOLARS ROAD","LONDON","LONDON","LAMBETH","GREATER LONDON"
"{F6CBA5F8-1997-4A8B-BD26-FEA25D1D18F1}",445000,2005-10-14 00:00:00.0000000,"SW12 0JD","T","N","F","144","","HYDETHORPE ROAD","","LONDON","LAMBETH","GREATER LONDON"
"{D6744C7C-B0E8-4EB0-A35C-FE5D90090CE1}",290000,2005-04-26 00:00:00.0000000,"SW12 0EQ","F","N","L","15","","BURNBURY ROAD","","LONDON","LAMBETH","GREATER LONDON"
"{135AF2E6-387A-4425-AEB5-FFC64D3DCB91}",217500,2005-11-22 00:00:00.0000000,"SW12 9HH","F","N","L","219","FLAT 3","BEDFORD HILL","","LONDON","WANDSWORTH","GREATER LONDON"
"{BD6952BD-9E23-4438-8F6B-FF424B248E0A}",218500,2005-02-18 00:00:00.0000000,"SW12 9HW","F","N","L","154","FLAT B","BEDFORD HILL","BALHAM","LONDON","WANDSWORTH","GREATER LONDON"
"{2BEE6320-0D51-4728-A844-218C88AF41F7}",260000,2005-01-14 00:00:00.0000000,"SW12 8AH","F","N","L","HIGHTREES HOUSE","FLAT 122","NIGHTINGALE LANE","LONDON","LONDON","WANDSWORTH","GREATER LONDON"
"{8DA4F450-0BE5-4FF2-B162-21904DFB7D27}",412500,2005-11-17 00:00:00.0000000,"SW12 0PJ","T","N","F","332","","CAVENDISH ROAD","LONDON","LONDON","WANDSWORTH","GREATER LONDON"
"{E6108B9F-8E09-4501-8CEC-1E18234A671D}",612000,2005-07-11 00:00:00.0000000,"SW12 8LN","T","N","F","5","","FERNSIDE ROAD","LONDON","LONDON","WANDSWORTH","GREATER LONDON"
"{C95C6611-F5C8-449F-A4F0-86A0E7C45A97}",243000,2005-11-24 00:00:00.0000000,"SW12 8AZ","F","N","L","29","FLAT 2","BALHAM GROVE","LONDON","LONDON","WANDSWORTH","GREATER LONDON"
"{7BD44C2C-A58C-45A8-B976-16FB7DF4A9A2}",350000,2005-04-26 00:00:00.0000000,"SW12 9RW","S","N","F","116","","FERNLEA ROAD","LONDON","LONDON","WANDSWORTH","GREATER LONDON"
"{EBAB0A99-89B6-4A2F-8319-1E2468C7E628}",287750,2005-01-14 00:00:00.0000000,"SW12 9RB","F","Y","L","34","FLAT C","OLD DEVONSHIRE ROAD","","LONDON","WANDSWORTH","GREATER LONDON"
"{58DFF7B1-0C0C-4BB8-BEA9-254A47FCD967}",180000,2005-06-24 00:00:00.0000000,"SW12 9RT","F","N","L","5","FLAT 2","FERNLEA ROAD","","LONDON","WANDSWORTH","GREATER LONDON"
"{A2EA1712-0C79-4959-A7AF-F2F141ADF9C9}",83000,1995-07-27 00:00:00.0000000,"SW12 0ND","F","N","L","146","","WEIR ROAD","LONDON","LONDON","LAMBETH","GREATER LONDON"
"{C9B8357F-49ED-42CC-A682-3F5332F80181}",90000,1995-08-10 00:00:00.0000000,"SW12 0DG","T","N","F","12","","CAVENDISH ROAD","LONDON","LONDON","LAMBETH","GREATER LONDON"
"{49583588-1567-441F-B9F6-B68ADA5F626D}",157000,1995-05-31 00:00:00.0000000,"SW12 8HQ","T","N","F","58","","BOUNDARIES ROAD","LONDON","LONDON","WANDSWORTH","GREATER LONDON"
"{82C0E515-F268-4FAF-9A35-BDEF8BB9E902}",105000,1995-08-10 00:00:00.0000000,"SW12 0NZ","F","N","F","15","","PENTNEY ROAD","LONDON","LONDON","LAMBETH","GREATER LONDON"
"{E3F710D7-BC7A-413A-8D1D-BDF03C4F37C2}",148500,1995-06-16 00:00:00.0000000,"SW12 9LE","S","N","F","49","","CATHLES ROAD","LONDON","LONDON","WANDSWORTH","GREATER LONDON"
"{0274D18D-770D-4FEC-9698-FDB4900F98DB}",60000,1995-04-07 00:00:00.0000000,"SW12 0PQ","T","N","L","317A","","CAVENDISH ROAD","LONDON","LONDON","LAMBETH","GREATER LONDON"
"{8E7A8E77-605E-4DD3-BA04-BA61B0A4FEE8}",170000,1995-02-10 00:00:00.0000000,"SW12 8LE","T","N","F","55","","GOSBERTON ROAD","LONDON","LONDON","WANDSWORTH","GREATER LONDON"
"{CC725F3A-3D4B-4B95-8B98-8B02597ADE5F}",55500,1995-08-11 00:00:00.0000000,"SW12 8RA","F","N","L","59A","","RAMSDEN ROAD","LONDON","LONDON","WANDSWORTH","GREATER LONDON"
"{B6C8C9B4-4456-451B-AEB8-3BEE7FDEE1D7}",76000,1995-04-28 00:00:00.0000000,"SW12 9LB","F","N","L","5","","LYNN ROAD","LONDON","LONDON","WANDSWORTH","GREATER LONDON"
"{19A6AB76-30C6-4B91-ABE5-4A329FAB7FCA}",82875,1995-10-13 00:00:00.0000000,"SW12 9ST","F","N","L","17A","","RAVENSTONE STREET","LONDON","LONDON","WANDSWORTH","GREATER LONDON"
"{663A0320-7230-42DE-9BFC-B6F16829B758}",127000,1995-08-18 00:00:00.0000000,"SW12 0JG","S","N","F","147","","HYDETHORPE ROAD","LONDON","LONDON","LAMBETH","GREATER LONDON"
"{CFDDC095-C30E-4536-B25C-8789551E8C6D}",81500,1995-07-31 00:00:00.0000000,"SW12 8QE","F","N","L","41","","TEMPERLEY ROAD","LONDON","LONDON","WANDSWORTH","GREATER LONDON"
"{DD189C0F-F7C5-4D49-801F-BE0B5069A1CB}",74000,1995-01-20 00:00:00.0000000,"SW12 9HZ","F","N","L","71","","BYRNE ROAD","LONDON","LONDON","WANDSWORTH","GREATER LONDON"
"{1923C976-A072-411F-97C7-BA7DD9F681B7}",85000,1995-09-25 00:00:00.0000000,"SW12 0EL","F","N","L","54A","","BURNBURY ROAD","LONDON","LONDON","LAMBETH","GREATER LONDON"
"{B9895E8A-C5E1-4DE6-A111-925327A95D16}",73000,1995-10-16 00:00:00.0000000,"SW12 0NA","F","N","L","40","","WEIR ROAD","LONDON","LONDON","LAMBETH","GREATER LONDON"
"{17C5C2A1-2373-47BF-BB3A-4A4177823524}",128000,1995-04-03 00:00:00.0000000,"SW12 9QJ","S","N","F","50","","LAITWOOD ROAD","LONDON","LONDON","WANDSWORTH","GREATER LONDON"
"{B937390C-6FDF-4346-9F4C-4A41DFF21B60}",189950,1995-11-07 00:00:00.0000000,"SW12 8LH","T","N","F","69","","FERNSIDE ROAD","LONDON","LONDON","WANDSWORTH","GREATER LONDON"
"{C708DDCB-B9E1-4E57-A391-4A454532C140}",65000,1995-01-13 00:00:00.0000000,"SW12 8PX","F","N","L","ROKEBY HOUSE","FLAT 63","LOCHINVAR STREET","LONDON","LONDON","WANDSWORTH","GREATER LONDON"
"{7F7D2F65-66AB-4C6B-A5F4-F35251CCA160}",186000,1995-06-14 00:00:00.0000000,"SW12 8JG","T","N","F","87","","CHESTNUT GROVE","LONDON","LONDON","WANDSWORTH","GREATER LONDON"
"{28AA8E0A-4CD0-4E39-AD3C-8B2678B75D07}",126500,1995-07-28 00:00:00.0000000,"SW12 0PG","T","N","F","8","","SCHOLARS ROAD","LONDON","LONDON","LAMBETH","GREATER LONDON"
"{BF66CEE7-3758-4F0A-8F02-432C4B975CE1}",125000,1995-11-21 00:00:00.0000000,"SW12 0EB","T","N","F","37","","RADBOURNE ROAD","LONDON","LONDON","LAMBETH","GREATER LONDON"
"{C7D0DB43-329C-44B6-8003-EFE2677C54D8}",580000,1995-07-21 00:00:00.0000000,"SW12 8UB","D","N","F","9","","THURLEIGH ROAD","LONDON","LONDON","WANDSWORTH","GREATER LONDON"
"{82AD6DEB-1209-4EF4-9E2B-87B7418A07A0}",145000,1995-01-06 00:00:00.0000000,"SW12 0NB","T","N","F","92","","WEIR ROAD","LONDON","LONDON","LAMBETH","GREATER LONDON"
"{476582E2-71B9-4437-8177-8442351535D1}",65000,1995-04-28 00:00:00.0000000,"SW12 8JR","F","N","L","ENDLESHAM COURT","FLAT B","ENDLESHAM ROAD","LONDON","LONDON","WANDSWORTH","GREATER LONDON"
"{07A40319-4D10-4247-A9F6-928B48BA5848}",75000,1995-10-27 00:00:00.0000000,"SW12 9LD","F","N","L","42A","","CATHLES ROAD","LONDON","LONDON","WANDSWORTH","GREATER LONDON"
"{8BA8D593-D3D6-455B-A637-928D0575D1D6}",80000,1995-05-25 00:00:00.0000000,"SW12 8AA","F","N","L","138","","ALDERBROOK ROAD","LONDON","LONDON","WANDSWORTH","GREATER LONDON"
"{F827A4AA-1F7B-4EDA-983C-FA8F8CAD4580}",56000,1995-06-02 00:00:00.0000000,"SW12 8EA","F","N","L","82","FLAT 3","BALHAM PARK ROAD","LONDON","LONDON","WANDSWORTH","GREATER LONDON"
"{6766FB05-19D3-487C-89D1-DE775CCA0F77}",70000,1995-07-28 00:00:00.0000000,"SW12 8AH","F","N","L","HIGHTREES HOUSE","FLAT 65","NIGHTINGALE LANE","LONDON","LONDON","WANDSWORTH","GREATER LONDON"
"{8B99F534-7329-467A-94C7-46EEB716B244}",152500,1995-07-27 00:00:00.0000000,"SW12 8NH","S","N","L","8","","WEXFORD ROAD","LONDON","LONDON","WANDSWORTH","GREATER LONDON"
"{844F5435-43B9-49ED-A54D-47053D937A17}",82000,1995-08-04 00:00:00.0000000,"SW12 9NX","F","N","L","CAVENDISH MANSIONS","FLAT 4","HAZELBOURNE ROAD","LONDON","LONDON","LAMBETH","GREATER LONDON"
"{F9ABAB18-E7B8-43D6-991F-E9278700B730}",73500,1995-01-31 00:00:00.0000000,"SW12 8UB","F","N","L","3","FLAT 5","THURLEIGH ROAD","LONDON","LONDON","WANDSWORTH","GREATER LONDON"
"{E222A925-CBF4-417C-A9D2-4AA1F8D66B2E}",385000,1995-07-07 00:00:00.0000000,"SW12 8NH","D","N","F","14","","WEXFORD ROAD","LONDON","LONDON","WANDSWORTH","GREATER LONDON"
"{16EC4BC5-CA5A-43B0-BBF2-0595DCD4D613}",81500,1995-07-03 00:00:00.0000000,"SW12 8LQ","F","N","L","62","FLAT A","GOSBERTON ROAD","","LONDON","WANDSWORTH","GREATER LONDON"
"{FEE184C5-3824-4C48-B0B6-1049AA32A6E0}",98000,1995-12-21 00:00:00.0000000,"SW12 8AZ","T","N","F","51","","BALHAM GROVE","LONDON","LONDON","WANDSWORTH","GREATER LONDON"
"{A5628E52-DA60-4E99-8C5C-DB2F7DAB939A}",63000,1995-10-30 00:00:00.0000000,"SW12 0HJ","F","N","L","24","","FIELDHOUSE ROAD","LONDON","LONDON","LAMBETH","GREATER LONDON"
"{8D131255-209D-4DA6-BD18-9669A1102FBA}",114000,1995-02-24 00:00:00.0000000,"SW12 0NY","T","N","F","62","","PENTNEY ROAD","LONDON","LONDON","LAMBETH","GREATER LONDON"
"{CA5BE438-4FFD-4434-9952-05A3DBCB0245}",157500,1995-10-20 00:00:00.0000000,"SW12 8JQ","T","N","F","107","","CHESTNUT GROVE","LONDON","LONDON","WANDSWORTH","GREATER LONDON"
"{616F6D51-5B8B-4BD0-BDEE-05A96D3D5D65}",60000,1995-08-07 00:00:00.0000000,"SW12 9HQ","F","N","L","213","FLAT 1","BEDFORD HILL","LONDON","LONDON","WANDSWORTH","GREATER LONDON"
"{42ECA3AF-5913-46C2-9B89-0940022DE57F}",92500,1995-11-24 00:00:00.0000000,"SW12 9LA","F","N","L","52","","LYNN ROAD","LONDON","LONDON","WANDSWORTH","GREATER LONDON"
