objectid,pcon18cd,pcon18nm,bng_e,bng_n,long,lat,st_areashape,st_lengthshape
1,E14000530,Aldershot,484884,155126,-0.7841,51.28895187,52978752.0317894,36261.4075508425
2,E14000531,Aldridge-Brownhills,404723,302568,-1.93166006,52.62086868,42857272.1330288,33431.104609237
3,E14000532,Altrincham and Sale West,374132,389051,-2.39049006,53.3976593,53374642.283726,38251.2829045477
4,E14000533,Amber Valley,440478,349675,-1.39769995,53.04283142,127875046.241058,50232.2648983867
5,E14000534,Arundel and South Downs,510689,115542,-0.42631,50.92871094,648718655.53758,188829.284878836
6,E14000535,Ashfield,450035,355939,-1.25419998,53.09833145,107242176.24115,52507.8713721723
7,E14000536,Ashford,595733,138824,0.79516703,51.11526108,506490483.796396,126064.465053316
8,E14000537,Ashton-under-Lyne,392394,399819,-2.11611009,53.49502945,29072300.9193652,29491.0163444094
9,E14000538,Aylesbury,482160,199541,-0.81282997,51.68862152,186271473.894226,117427.261403218
10,E14000539,Banbury,441108,233685,-1.40260005,52.00009918,466678932.489372,160510.867509974
11,E14000540,Barking,546099,184533,0.105346,51.54079056,21126007.5376241,22117.2944792867
12,E14000541,Barnsley Central,433719,408537,-1.49228001,53.57236862,48020937.8124365,38923.375720034
13,E14000542,Barnsley East,439730,404883,-1.40198004,53.53910828,86357349.1490055,50100.0856228722
14,E14000543,Barrow and Furness,325384,484663,-3.14672995,54.25218964,282893056.181045,144013.092114614
15,E14000544,Basildon and Billericay,569070,192467,0.440099,51.60565948,62768225.4124304,33368.8136118607
16,E14000545,Basingstoke,465234,151979,-1.06641996,51.26324081,58460890.6347594,41291.4108018825
17,E14000546,Bassetlaw,469769,385125,-0.95315999,53.35842896,480805255.383959,129715.350707291
18,E14000547,Bath,374693,164413,-2.36499,51.37818909,29275339.5280272,24698.7589337078
19,E14000548,Batley and Spen,420570,425305,-1.68973994,53.7237587,53223037.5597825,38159.6735753842
20,E14000549,Battersea,527493,175641,-0.16599999,51.46538162,11439982.7599475,18221.9260792312
21,E14000550,Beaconsfield,498198,185455,-0.58484,51.55944061,175929435.592361,89663.9721224873
22,E14000551,Beckenham,540141,167041,0.012564,51.38512039,35235062.7603448,28755.4093648583
23,E14000552,Bedford,505470,248675,-0.46072,52.12633896,34007566.8905073,29164.3534308374
24,E14000553,Bermondsey and Old Southwark,533846,178919,-0.07335,51.4933815,10736412.2605612,16773.544495737
25,E14000554,Berwick-upon-Tweed,404456,611882,-1.93120003,55.40085983,2390134855.0439,298545.579518867
26,E14000555,Bethnal Green and Bow,535339,182777,-0.05038,51.52769089,9528736.89108022,13550.2590726435
27,E14000556,Beverley and Holderness,523478,430751,-0.12853,53.75851059,782222838.386383,188132.707088084
28,E14000557,Bexhill and Battle,572483,119019,0.453915,50.94480133,528027321.479004,144681.115410831
29,E14000558,Bexleyheath and Crayford,549971,175943,0.157489,51.46258926,22153534.0203339,21031.7452226002
30,E14000559,Birkenhead,330482,388287,-3.04668999,53.38684082,24719264.2613179,20758.6613515853
31,E14000560,"Birmingham, Edgbaston",402500,283463,-1.96463001,52.44913101,28580261.1050162,24893.8922508192
32,E14000561,"Birmingham, Erdington",410573,292673,-1.84555995,52.53182983,21838574.4747734,21613.7284847684
33,E14000562,"Birmingham, Hall Green",408501,282513,-1.87636006,52.44052887,19026120.4159356,21637.5338687148
34,E14000563,"Birmingham, Hodge Hill",410878,287656,-1.84123003,52.48672867,20134075.3853397,26381.832438097
35,E14000564,"Birmingham, Ladywood",407075,288133,-1.89722002,52.49108124,24816092.4595388,30953.1248080002
36,E14000565,"Birmingham, Northfield",401888,279459,-1.97365999,52.41313934,25492538.0852334,27636.1628321568
37,E14000566,"Birmingham, Perry Barr",406035,291868,-1.91246998,52.52466965,26110414.5034634,25473.1801403173
38,E14000567,"Birmingham, Selly Oak",406396,280770,-1.90735996,52.42488861,21495606.9311966,25781.5648375227
39,E14000568,"Birmingham, Yardley",412993,284792,-1.81018996,52.46092987,21135231.4062326,24428.0145351874
40,E14000569,Bishop Auckland,400989,521813,-1.98620999,54.59151077,921872843.428485,175677.262244334
41,E14000570,Blackburn,367090,427991,-2.50049996,53.74726105,39690914.8020243,26861.7581665242
42,E14000571,Blackley and Broughton,384164,401961,-2.2402699,53.51409912,27340507.8614001,29224.5626149631
43,E14000572,Blackpool North and Cleveleys,333059,443882,-3.01992989,53.88679123,24936596.4224828,33161.3711057297
44,E14000573,Blackpool South,332763,433883,-3.02223992,53.7969017,20537209.9032667,20149.4870242826
45,E14000574,Blaydon,417664,559658,-1.72588003,54.93130112,112032080.081345,60220.9618731133
46,E14000575,Blyth Valley,428115,577679,-1.56103003,55.09275055,71194548.4589161,39082.1067107138
47,E14000576,Bognor Regis and Littlehampton,494574,100500,-0.65943003,50.79634094,61814228.3324521,46154.6272127863
48,E14000577,Bolsover,447998,366869,-1.28298998,53.19675827,226755316.673656,98958.3040534238
49,E14000578,Bolton North East,372934,412475,-2.41053009,53.60813904,34588237.9512066,29449.0393718703
50,E14000579,Bolton South East,371679,406344,-2.42894006,53.55297089,36929416.4374651,30643.3964928153
51,E14000580,Bolton West,364518,408253,-2.53724003,53.5696907,72805711.74405,45063.1900171637
52,E14000581,Bootle,333951,397251,-2.99641991,53.46784973,25941909.3590495,21532.2470777095
53,E14000582,Boston and Skegness,537976,351211,0.056495,53.04040146,710930847.786688,156661.792628277
54,E14000583,Bosworth,439538,301379,-1.41754997,52.60876846,292239508.236475,92814.3519908998
55,E14000584,Bournemouth East,411614,93655,-1.83675003,50.74237061,26119680.286808,30024.3586537877
56,E14000585,Bournemouth West,406759,94023,-1.90555,50.74576187,27281698.3651958,24268.7631509061
57,E14000586,Bracknell,483647,165246,-0.79947001,51.38011169,73794701.484563,41652.5525460645
58,E14000587,Bradford East,417427,433388,-1.73692,53.79652023,27631525.4245072,30267.0745960776
59,E14000588,Bradford South,415841,429295,-1.76119995,53.75978088,44875219.5311958,47713.0277513678
60,E14000589,Bradford West,412492,433844,-1.81182003,53.80075836,35822495.6643323,31864.2942312402
61,E14000590,Braintree,577253,232650,0.57864898,51.96406937,464805001.48779,113399.287506094
62,E14000591,Brent Central,521541,185236,-0.24833,51.55292892,19164370.648001,22111.1860234519
63,E14000592,Brent North,518094,186649,-0.29754999,51.56636047,19954313.3910277,24297.970795447
64,E14000593,Brentford and Isleworth,516568,177052,-0.32273,51.48041916,27087956.9637123,33560.743050861
65,E14000594,Brentwood and Ongar,556779,200101,0.26618099,51.67779922,315691506.31902,86188.0207777186
66,E14000595,Bridgwater and West Somerset,302014,136702,-3.40143991,51.12118912,1085736543.07382,223647.803322081
67,E14000596,Brigg and Goole,476705,409463,-0.84302998,53.5761795,640595943.587785,189517.524721674
68,E14000597,"Brighton, Kemptown",534575,104472,-0.09068,50.82415009,40372085.68861,37735.4139338826
69,E14000598,"Brighton, Pavilion",531231,107528,-0.13704,50.85237885,29410713.900817,30188.0434810702
70,E14000599,Bristol East,362430,172547,-2.54204011,51.45064926,23176357.28324,28031.5396154511
71,E14000600,Bristol North West,355048,178219,-2.64898992,51.50109863,44991977.0163584,40440.5237140002
72,E14000601,Bristol South,358409,169601,-2.59956002,51.42388153,25181530.349244,19729.8299023459
73,E14000602,Bristol West,359407,174253,-2.58574009,51.46577835,16982650.3135009,16839.8756164974
74,E14000603,Broadland,617274,321242,1.21757698,52.74512863,764639722.995259,237542.295373112
75,E14000604,Bromley and Chislehurst,542971,170358,0.054539,51.4142189,28335315.535959,31043.7322541884
76,E14000605,Bromsgrove,399840,273736,-2.0037601,52.36169052,217804076.094778,90652.4626601064
77,E14000606,Broxbourne,534218,205427,-0.05786,51.73149872,67727783.7947253,43176.9216451594
78,E14000607,Broxtowe,450754,346085,-1.24501002,53.00968933,65130005.0454193,46657.2361435948
79,E14000608,Buckingham,477472,222419,-0.87553,51.89495087,868902442.664932,211181.873888863
80,E14000609,Burnley,384886,430882,-2.23079991,53.7740593,112948464.821239,48938.7607399423
81,E14000610,Burton,404391,334740,-1.93614995,52.91007996,244954683.552155,126627.723538807
82,E14000611,Bury North,379312,413522,-2.31420994,53.61783981,51201192.1635428,36143.9128215304
83,E14000612,Bury South,380354,406519,-2.29801011,53.55493927,49249325.3794374,38981.9217985761
84,E14000613,Bury St Edmunds,594529,264764,0.84811902,52.24668121,504334144.365414,146789.15307156
85,E14000614,Calder Valley,403388,423842,-1.95014,53.71099854,308780559.502542,105900.499994003
86,E14000615,Camberwell and Peckham,533978,176264,-0.07246,51.46949005,12334503.9689533,16764.8327387476
87,E14000616,Camborne and Redruth,171361,37224,-5.20457983,50.19078064,284217970.315411,107201.742548399
88,E14000617,Cambridge,545420,257901,0.126436,52.20016861,36567950.8302037,33764.100979624
89,E14000618,Cannock Chase,401261,311553,-1.98276997,52.70166016,79383361.3506168,41976.8012616582
90,E14000619,Canterbury,615361,155814,1.08536196,51.26079178,248291097.181702,94542.9878562646
91,E14000620,Carlisle,339781,552314,-2.9396801,54.86196899,211941258.85876,95153.5550058778
92,E14000621,Carshalton and Wallington,528288,163524,-0.15894,51.3563118,26070232.8073444,25046.9019739934
93,E14000622,Castle Point,579490,187921,0.58808398,51.56159973,44326534.978604,42809.4435947233
94,E14000623,Central Devon,272816,92580,-3.80304003,50.7188797,1413645420.2409,249002.569457939
95,E14000624,Central Suffolk and North Ipswich,619438,262142,1.21070504,52.21377945,793994854.827542,159004.917382009
96,E14000625,Charnwood,458723,311183,-1.13252997,52.69517136,171739004.407236,100295.792530858
97,E14000626,Chatham and Aylesford,574815,163047,0.50843298,51.33963013,62887744.9309798,51577.0462608459
98,E14000627,Cheadle,387557,385611,-2.1884501,53.36722946,40364805.398941,32754.5920321785
99,E14000628,Chelmsford,571558,205432,0.482346,51.7213707,41168819.6137222,32465.5869389695
100,E14000629,Chelsea and Fulham,525982,177080,-0.18723001,51.47864914,8525268.77574179,14017.9409115291
101,E14000630,Cheltenham,394670,221154,-2.07884002,51.88891983,37144088.4768827,27447.0954119728
102,E14000631,Chesham and Amersham,495432,198692,-0.62111998,51.67890167,196151646.458034,71724.085463094
103,E14000632,Chesterfield,440100,372487,-1.40050006,53.24790955,47048404.3213741,36094.6913227548
104,E14000633,Chichester,490172,116639,-0.71789998,50.94213867,619068960.649016,192567.171823124
105,E14000634,Chingford and Woodford Green,538751,192824,0.002733,51.61714172,19789750.3324136,19354.7663063044
106,E14000635,Chippenham,385912,164688,-2.20380998,51.38106155,167863455.510955,74553.1360059512
107,E14000636,Chipping Barnet,525721,194354,-0.18481,51.63394928,34727270.1672513,31495.7754939479
108,E14000637,Chorley,358735,418081,-2.62585998,53.65758896,154545123.621689,64261.5275166778
