Date,Currency,Value
01-Jul-20,AUD,1.45
02-Jul-20,AUD,1.45
03-Jul-20,AUD,1.45
04-Jul-20,AUD,1.45
05-Jul-20,AUD,1.45
06-Jul-20,AUD,1.45
07-Jul-20,AUD,1.45
08-Jul-20,AUD,1.45
09-Jul-20,AUD,1.45
10-Jul-20,AUD,1.45
11-Jul-20,AUD,1.45
12-Jul-20,AUD,1.45
13-Jul-20,AUD,1.45
14-Jul-20,AUD,1.45
15-Jul-20,AUD,1.45
16-Jul-20,AUD,1.45
17-Jul-20,AUD,1.45
18-Jul-20,AUD,1.45
19-Jul-20,AUD,1.45
20-Jul-20,AUD,1.45
21-Jul-20,AUD,1.45
22-Jul-20,AUD,1.45
23-Jul-20,AUD,1.45
24-Jul-20,AUD,1.45
25-Jul-20,AUD,1.45
26-Jul-20,AUD,1.45
27-Jul-20,AUD,1.45
28-Jul-20,AUD,1.45
29-Jul-20,AUD,1.45
30-Jul-20,AUD,1.45
31-Jul-20,AUD,1.45
01-May-20,AUD,1.53
02-May-20,AUD,1.53
03-May-20,AUD,1.53
04-May-20,AUD,1.53
05-May-20,AUD,1.53
06-May-20,AUD,1.53
07-May-20,AUD,1.53
08-May-20,AUD,1.53
09-May-20,AUD,1.53
10-May-20,AUD,1.53
11-May-20,AUD,1.53
12-May-20,AUD,1.53
13-May-20,AUD,1.53
14-May-20,AUD,1.53
15-May-20,AUD,1.53
16-May-20,AUD,1.53
17-May-20,AUD,1.53
18-May-20,AUD,1.53
19-May-20,AUD,1.53
20-May-20,AUD,1.53
21-May-20,AUD,1.53
22-May-20,AUD,1.53
23-May-20,AUD,1.53
24-May-20,AUD,1.53
25-May-20,AUD,1.53
26-May-20,AUD,1.53
27-May-20,AUD,1.53
28-May-20,AUD,1.53
29-May-20,AUD,1.53
30-May-20,AUD,1.53
31-May-20,AUD,1.53
01-Apr-20,AUD,1.59
02-Apr-20,AUD,1.59
03-Apr-20,AUD,1.59
04-Apr-20,AUD,1.59
05-Apr-20,AUD,1.59
06-Apr-20,AUD,1.59
07-Apr-20,AUD,1.59
08-Apr-20,AUD,1.59
09-Apr-20,AUD,1.59
10-Apr-20,AUD,1.59
11-Apr-20,AUD,1.59
12-Apr-20,AUD,1.59
13-Apr-20,AUD,1.59
14-Apr-20,AUD,1.59
15-Apr-20,AUD,1.59
16-Apr-20,AUD,1.59
17-Apr-20,AUD,1.59
18-Apr-20,AUD,1.59
19-Apr-20,AUD,1.59
20-Apr-20,AUD,1.59
21-Apr-20,AUD,1.59
22-Apr-20,AUD,1.59
23-Apr-20,AUD,1.59
24-Apr-20,AUD,1.59
25-Apr-20,AUD,1.59
26-Apr-20,AUD,1.59
27-Apr-20,AUD,1.59
28-Apr-20,AUD,1.59
29-Apr-20,AUD,1.59
30-Apr-20,AUD,1.59
01-Jun-20,AUD,1.45
02-Jun-20,AUD,1.45
03-Jun-20,AUD,1.45
04-Jun-20,AUD,1.45
05-Jun-20,AUD,1.45
06-Jun-20,AUD,1.45
07-Jun-20,AUD,1.45
08-Jun-20,AUD,1.45
09-Jun-20,AUD,1.45
10-Jun-20,AUD,1.45
11-Jun-20,AUD,1.45
12-Jun-20,AUD,1.45
13-Jun-20,AUD,1.45
14-Jun-20,AUD,1.45
15-Jun-20,AUD,1.45
16-Jun-20,AUD,1.45
17-Jun-20,AUD,1.45
18-Jun-20,AUD,1.45
19-Jun-20,AUD,1.45
20-Jun-20,AUD,1.45
21-Jun-20,AUD,1.45
22-Jun-20,AUD,1.45
23-Jun-20,AUD,1.45
24-Jun-20,AUD,1.45
25-Jun-20,AUD,1.45
26-Jun-20,AUD,1.45
27-Jun-20,AUD,1.45
28-Jun-20,AUD,1.45
29-Jun-20,AUD,1.45
30-Jun-20,AUD,1.45
01-Feb-20,AUD,1.5
02-Feb-20,AUD,1.5
03-Feb-20,AUD,1.5
04-Feb-20,AUD,1.5
05-Feb-20,AUD,1.5
06-Feb-20,AUD,1.5
07-Feb-20,AUD,1.5
08-Feb-20,AUD,1.5
09-Feb-20,AUD,1.5
10-Feb-20,AUD,1.5
11-Feb-20,AUD,1.5
12-Feb-20,AUD,1.5
13-Feb-20,AUD,1.5
14-Feb-20,AUD,1.5
15-Feb-20,AUD,1.5
16-Feb-20,AUD,1.5
17-Feb-20,AUD,1.5
18-Feb-20,AUD,1.5
19-Feb-20,AUD,1.5
20-Feb-20,AUD,1.5
21-Feb-20,AUD,1.5
22-Feb-20,AUD,1.5
23-Feb-20,AUD,1.5
