Date,Region,General Ledger Account,Transcation Type,Customer Number,Item Category,Budget
01/01/2018,AUZ,10100,STD,110100,Axle,"4,208.40"
01/01/2018,AUZ,10100,STD,110100,Other,170.28
01/01/2018,AUZ,10100,STD,110102,Other,7.92
01/01/2018,AUZ,10100,STD,110104,Axle,"1,615.86"
01/01/2018,AUZ,10100,STD,110104,Other,13.6
01/01/2018,AUZ,10100,STD,210290,Axle,"1,133.16"
01/01/2018,AUZ,10100,STD,230220,Other,47.84
01/01/2018,AUZ,10100,STD,230220,Pedal,"2,740.57"
01/01/2018,AUZ,10100,STD,232560,Drivetrain,"14,190.54"
01/01/2018,AUZ,10100,STD,232770,Axle,"1,744.20"
01/01/2018,AUZ,10100,STD,232770,Drivetrain,"3,096.50"
01/01/2018,EUR,10100,STD,120100,Other,386.4
01/01/2018,EUR,10100,STD,200310,Axle,"47,932.20"
01/01/2018,EUR,10100,STD,200310,Drivetrain,"50,204.40"
01/01/2018,EUR,10100,STD,200310,Tire,533.5
01/01/2018,EUR,10100,STD,400955,Axle,"13,890.80"
01/01/2018,EUR,10100,STD,400955,Chains,63
01/01/2018,EUR,10100,STD,400955,Drivetrain,"1,549.38"
01/01/2018,EUR,10100,STD,400955,Tire,"15,798.95"
01/01/2018,EUR,10100,STD,420000,Axle,"2,624.60"
01/01/2018,EUR,10100,STD,420000,Tire,"9,106.23"
01/01/2018,EUR,10100,STD,431185,Tire,255
01/01/2018,EUR,10100,STD,499910,Tire,853.76
01/01/2018,MEA,10100,STD,311116,Tire,"13,156.24"
01/01/2018,MEA,10100,STD,999998,Pedal,"4,656.48"
01/01/2018,SAM,10100,CRD,8000,Axle,"-22,497.44"
01/01/2018,SAM,10100,CRD,8000,Chains,-984
01/01/2018,SAM,10100,CRD,8000,Drivetrain,"-2,635.20"
01/01/2018,SAM,10100,CRD,8000,Pedal,"-2,740.08"
01/01/2018,SAM,10100,CRD,8000,Tire,"-50,432.76"
01/01/2018,SAM,10100,CRD,17145,Tire,-89.64
01/01/2018,SAM,10100,RTN,3049,Axle,-711.99
01/01/2018,SAM,10100,RTN,3049,Tire,"-1,976.91"
01/01/2018,SAM,10100,STD,3450,Axle,729.12
01/01/2018,SAM,10100,STD,14020,Axle,883.96
02/01/2018,AUZ,10100,STD,110100,Other,14.79
02/01/2018,AUZ,10100,STD,110101,Other,7.49
02/01/2018,AUZ,10100,STD,110102,Other,150.08
02/01/2018,AUZ,10100,STD,110104,Other,57.12
02/01/2018,AUZ,10100,STD,110215,Other,"18,623.56"
02/01/2018,AUZ,10100,STD,110400,Axle,627.95
02/01/2018,AUZ,10100,STD,110400,Drivetrain,301.6
02/01/2018,AUZ,10100,STD,110400,Tire,"13,348.28"
02/01/2018,AUZ,10100,STD,230220,Axle,"70,975.24"
02/01/2018,AUZ,10100,STD,230220,Other,28.6
02/01/2018,AUZ,10100,STD,232810,Drivetrain,572
02/01/2018,EUR,10100,STD,120100,Other,364.37
02/01/2018,EUR,10100,STD,200115,Tire,115.2
02/01/2018,EUR,10100,STD,200125,Axle,"1,684.62"
02/01/2018,EUR,10100,STD,200125,Tire,"17,788.68"
02/01/2018,EUR,10100,STD,200310,Axle,347.82
02/01/2018,EUR,10100,STD,200310,Pedal,"1,707.91"
02/01/2018,EUR,10100,STD,200310,Tire,"15,493.80"
02/01/2018,EUR,10100,STD,200375,Axle,570
02/01/2018,EUR,10100,STD,200375,Chains,90.47
02/01/2018,EUR,10100,STD,200375,Pedal,208.62
02/01/2018,EUR,10100,STD,200375,Tire,712.98
02/01/2018,EUR,10100,STD,400955,Axle,"19,232.76"
02/01/2018,EUR,10100,STD,400955,Chains,101
02/01/2018,EUR,10100,STD,400955,Drivetrain,915.12
02/01/2018,EUR,10100,STD,400955,Tire,"17,918.40"
02/01/2018,EUR,10100,STD,420000,Axle,"4,177.44"
02/01/2018,EUR,10100,STD,420000,Chains,57.6
02/01/2018,EUR,10100,STD,420000,Tire,"14,703.90"
02/01/2018,EUR,10100,STD,433010,Axle,334.08
02/01/2018,EUR,10100,STD,433190,Axle,73.7
02/01/2018,EUR,10100,STD,499910,Tire,362.88
02/01/2018,MEA,10100,STD,110015,Bearing,772.5
02/01/2018,MEA,10100,STD,110025,Other,"6,137.56"
02/01/2018,SAM,10100,STD,1077,Axle,"14,983.00"
02/01/2018,SAM,10100,STD,1077,Chains,554.32
02/01/2018,SAM,10100,STD,1077,Drivetrain,"1,405.26"
02/01/2018,SAM,10100,STD,1077,Pedal,283.05
02/01/2018,SAM,10100,STD,1077,Tire,"57,613.08"
02/01/2018,SAM,10100,STD,8000,Axle,"9,871.68"
02/01/2018,SAM,10100,STD,8000,Chains,925.41
02/01/2018,SAM,10100,STD,8000,Drivetrain,"12,395.43"
02/01/2018,SAM,10100,STD,8000,Pedal,918.32
02/01/2018,SAM,10100,STD,8000,Tire,"32,052.80"
02/01/2018,USA,10100,STD,110120,Tire,"105,257.88"
03/01/2018,AUZ,10100,STD,110101,Other,25.99
03/01/2018,AUZ,10100,STD,110104,Other,112.7
03/01/2018,AUZ,10100,STD,230220,Other,473.28
03/01/2018,AUZ,10100,STD,232530,Drivetrain,"13,446.12"
03/01/2018,AUZ,10100,STD,232530,Pedal,"27,021.29"
03/01/2018,AUZ,10100,STD,232530,Tire,"7,898.20"
03/01/2018,AUZ,10100,STD,232780,Tire,"141,673.75"
03/01/2018,EUR,10100,STD,120100,Other,473.1
03/01/2018,EUR,10100,STD,400955,Axle,"11,200.10"
03/01/2018,EUR,10100,STD,400955,Chains,244.2
03/01/2018,EUR,10100,STD,400955,Drivetrain,"1,125.30"
03/01/2018,EUR,10100,STD,400955,Tire,"27,253.42"
03/01/2018,EUR,10100,STD,420000,Axle,"4,480.32"
03/01/2018,EUR,10100,STD,420000,Drivetrain,331.08
03/01/2018,EUR,10100,STD,420000,Tire,"14,330.40"
03/01/2018,EUR,10100,STD,431405,Axle,126.5
03/01/2018,EUR,10100,STD,431440,Axle,59.74
03/01/2018,EUR,10100,STD,433090,Axle,71.02
03/01/2018,EUR,10100,STD,499905,Tire,205.8
03/01/2018,EUR,10100,STD,499910,Tire,96.28
03/01/2018,MEA,10100,STD,110010,Bearing,95.68
03/01/2018,SAM,10100,RTN,16008,Axle,-387.27
03/01/2018,SAM,10100,RTN,16008,Tire,"-1,675.80"
03/01/2018,SAM,10100,STD,3450,Axle,"6,121.26"
03/01/2018,SAM,10100,STD,4050,Tire,"105,811.20"
03/01/2018,SAM,10100,STD,12015,Axle,"3,576.00"
03/01/2018,SAM,10100,STD,14020,Axle,"20,407.70"
03/01/2018,SAM,10100,STD,14020,Chains,"8,356.70"
03/01/2018,SAM,10100,STD,14020,Drivetrain,"4,706.95"
03/01/2018,SAM,10100,STD,14020,Pedal,"15,009.30"
03/01/2018,SAM,10100,STD,14020,Tire,"50,818.56"
04/01/2018,AFR,10100,STD,310090,Other,137.46
04/01/2018,AUZ,10100,STD,110100,Other,11.48
04/01/2018,AUZ,10100,STD,110101,Other,76.23
04/01/2018,AUZ,10100,STD,110102,Other,4.48
04/01/2018,AUZ,10100,STD,110104,Other,6.48
04/01/2018,AUZ,10100,STD,230220,Axle,"7,084.92"
04/01/2018,AUZ,10100,STD,230220,Other,116.55
04/01/2018,AUZ,10100,STD,230730,Axle,"7,970.62"
04/01/2018,AUZ,10100,STD,233020,Axle,"46,073.23"
04/01/2018,AUZ,10100,STD,233020,Drivetrain,"22,874.88"
04/01/2018,EUR,10100,STD,200115,Tire,80.75
04/01/2018,EUR,10100,STD,200310,Axle,"42,862.80"
04/01/2018,EUR,10100,STD,200310,Chains,"1,348.20"
