areaType,areaName,areaCode,date,newCasesByPublishDate,cumCasesByPublishDate
nation,England,E92000001,2020-10-09,10772,491428
nation,England,E92000001,2020-10-08,14952,480656
nation,England,E92000001,2020-10-07,11528,465704
nation,England,E92000001,2020-10-06,12648,454176
nation,England,E92000001,2020-10-05,10685,441528
nation,England,E92000001,2020-10-04,21309,430843
nation,England,E92000001,2020-10-03,10806,409534
nation,England,E92000001,2020-10-02,4797,398728
nation,England,E92000001,2020-10-01,5589,393931
nation,England,E92000001,2020-09-30,5656,388342
nation,England,E92000001,2020-09-29,5651,382686
nation,England,E92000001,2020-09-28,3316,377035
nation,England,E92000001,2020-09-27,4800,373719
nation,England,E92000001,2020-09-26,4639,368919
nation,England,E92000001,2020-09-25,5723,364280
nation,England,E92000001,2020-09-24,5632,358557
nation,England,E92000001,2020-09-23,5083,352925
nation,England,E92000001,2020-09-22,4187,347842
nation,England,E92000001,2020-09-21,3754,343655
nation,England,E92000001,2020-09-20,3279,339901
nation,England,E92000001,2020-09-19,3638,336622
nation,England,E92000001,2020-09-18,3771,332984
nation,England,E92000001,2020-09-17,2788,329213
nation,England,E92000001,2020-09-16,3396,326425
nation,England,E92000001,2020-09-15,2649,323029
nation,England,E92000001,2020-09-14,2259,320380
nation,England,E92000001,2020-09-13,2837,318121
nation,England,E92000001,2020-09-12,3008,315284
nation,England,E92000001,2020-09-11,3143,312276
nation,England,E92000001,2020-09-10,2578,309133
nation,England,E92000001,2020-09-09,2286,306555
nation,England,E92000001,2020-09-08,2094,304269
nation,England,E92000001,2020-09-07,2528,302175
nation,England,E92000001,2020-09-06,2576,299647
nation,England,E92000001,2020-09-05,1477,297071
nation,England,E92000001,2020-09-04,1669,295594
nation,England,E92000001,2020-09-03,1507,293925
nation,England,E92000001,2020-09-02,1239,292418
nation,England,E92000001,2020-09-01,1041,291179
nation,England,E92000001,2020-08-31,1149,290138
nation,England,E92000001,2020-08-30,1487,288989
nation,England,E92000001,2020-08-29,891,287502
nation,England,E92000001,2020-08-28,1106,286611
nation,England,E92000001,2020-08-27,1350,285505
nation,England,E92000001,2020-08-26,875,284155
nation,England,E92000001,2020-08-25,1065,283280
nation,England,E92000001,2020-08-24,758,282215
nation,England,E92000001,2020-08-23,938,281457
nation,England,E92000001,2020-08-22,1060,280519
nation,England,E92000001,2020-08-21,908,279459
nation,England,E92000001,2020-08-20,1035,278551
nation,England,E92000001,2020-08-19,707,277516
nation,England,E92000001,2020-08-18,975,276809
nation,England,E92000001,2020-08-17,634,275834
nation,England,E92000001,2020-08-16,952,275200
nation,England,E92000001,2020-08-15,934,274248
nation,England,E92000001,2020-08-14,1284,273314
nation,England,E92000001,2020-08-13,1059,272030
nation,England,E92000001,2020-08-12,925,270971
nation,England,E92000001,2020-08-11,1035,270046
nation,England,E92000001,2020-08-10,699,269011
nation,England,E92000001,2020-08-09,988,268312
nation,England,E92000001,2020-08-08,679,267324
nation,England,E92000001,2020-08-07,796,266645
nation,England,E92000001,2020-08-06,826,265849
nation,England,E92000001,2020-08-05,804,265023
nation,England,E92000001,2020-08-04,617,264219
nation,England,E92000001,2020-08-03,856,263602
nation,England,E92000001,2020-08-02,676,262746
nation,England,E92000001,2020-08-01,722,262070
nation,England,E92000001,2020-07-31,814,261348
nation,England,E92000001,2020-07-30,812,260534
nation,England,E92000001,2020-07-29,700,259722
nation,England,E92000001,2020-07-28,547,259022
nation,England,E92000001,2020-07-27,616,258475
nation,England,E92000001,2020-07-26,721,257859
nation,England,E92000001,2020-07-25,710,257138
nation,England,E92000001,2020-07-24,688,256428
nation,England,E92000001,2020-07-23,702,255740
nation,England,E92000001,2020-07-22,519,255038
nation,England,E92000001,2020-07-21,399,254519
nation,England,E92000001,2020-07-20,535,254120
nation,England,E92000001,2020-07-19,672,253585
nation,England,E92000001,2020-07-18,796,252913
nation,England,E92000001,2020-07-17,635,252117
nation,England,E92000001,2020-07-16,597,251482
nation,England,E92000001,2020-07-15,506,250885
nation,England,E92000001,2020-07-14,372,250379
nation,England,E92000001,2020-07-13,497,250007
nation,England,E92000001,2020-07-12,615,249510
nation,England,E92000001,2020-07-11,806,248895
nation,England,E92000001,2020-07-10,480,248089
nation,England,E92000001,2020-07-09,617,247609
nation,England,E92000001,2020-07-08,606,246992
nation,England,E92000001,2020-07-07,572,246386
nation,England,E92000001,2020-07-06,331,245814
nation,England,E92000001,2020-07-05,492,245483
nation,England,E92000001,2020-07-04,579,244991
nation,England,E92000001,2020-07-03,502,244412
nation,England,E92000001,2020-07-02,523,243910
nation,England,E92000001,2020-07-01,177,160764
nation,England,E92000001,2020-06-30,196,160587
nation,England,E92000001,2020-06-29,99,160391
nation,England,E92000001,2020-06-28,142,160292
nation,England,E92000001,2020-06-27,192,160150
nation,England,E92000001,2020-06-26,175,159958
nation,England,E92000001,2020-06-25,261,159696
nation,England,E92000001,2020-06-24,107,159435
nation,England,E92000001,2020-06-23,210,159328
nation,England,E92000001,2020-06-22,178,159118
nation,England,E92000001,2020-06-21,215,158940
nation,England,E92000001,2020-06-20,324,158725
nation,England,E92000001,2020-06-19,323,158401
nation,England,E92000001,2020-06-18,281,158078
nation,England,E92000001,2020-06-17,252,157797
nation,England,E92000001,2020-06-16,252,157545
nation,England,E92000001,2020-06-15,219,157293
nation,England,E92000001,2020-06-14,292,157074
nation,England,E92000001,2020-06-13,372,156782
nation,England,E92000001,2020-06-12,392,156410
nation,England,E92000001,2020-06-11,304,156018
nation,England,E92000001,2020-06-10,63,155714
nation,England,E92000001,2020-06-09,651,155651
nation,England,E92000001,2020-06-08,92,155000
nation,England,E92000001,2020-06-07,228,154908
nation,England,E92000001,2020-06-06,422,154680
nation,England,E92000001,2020-06-05,451,154258
nation,England,E92000001,2020-06-04,431,153807
nation,England,E92000001,2020-06-03,462,153376
nation,England,E92000001,2020-06-02,444,152914
nation,England,E92000001,2020-06-01,294,152470
nation,England,E92000001,2020-05-31,320,152176
nation,England,E92000001,2020-05-30,715,151856
nation,England,E92000001,2020-05-29,560,151982
nation,England,E92000001,2020-05-28,519,151422
nation,England,E92000001,2020-05-27,609,150903
nation,England,E92000001,2020-05-26,492,150294
nation,England,E92000001,2020-05-25,494,149802
nation,England,E92000001,2020-05-24,584,149308
nation,England,E92000001,2020-05-23,979,148724
nation,England,E92000001,2020-05-22,1083,147745
nation,England,E92000001,2020-05-21,854,146662
nation,England,E92000001,2020-05-20,824,145808
nation,England,E92000001,2020-05-19,857,145376
nation,England,E92000001,2020-05-18,816,144519
nation,England,E92000001,2020-05-17,788,143703
nation,England,E92000001,2020-05-16,1136,142915
nation,England,E92000001,2020-05-15,1112,141779
nation,England,E92000001,2020-05-14,1189,140667
nation,England,E92000001,2020-05-13,1146,139478
nation,England,E92000001,2020-05-12,1067,138332
nation,England,E92000001,2020-05-11,891,137265
nation,England,E92000001,2020-05-10,1007,136374
nation,England,E92000001,2020-05-09,1349,135367
nation,England,E92000001,2020-05-08,1694,134018
nation,England,E92000001,2020-05-07,2133,132324
nation,England,E92000001,2020-05-06,1611,130191
nation,England,E92000001,2020-05-05,1842,128580
nation,England,E92000001,2020-05-04,1485,126738
nation,England,E92000001,2020-05-03,2019,125253
nation,England,E92000001,2020-05-02,2228,123234
nation,England,E92000001,2020-05-01,2501,121006
nation,England,E92000001,2020-04-30,2484,118343
nation,England,E92000001,2020-04-29,1403,115859
nation,England,E92000001,2020-04-28,1989,114456
nation,England,E92000001,2020-04-27,2264,112467
nation,England,E92000001,2020-04-26,2152,110203
nation,England,E92000001,2020-04-25,2826,108051
nation,England,E92000001,2020-04-24,3004,105225
nation,England,E92000001,2020-04-23,3084,102221
nation,England,E92000001,2020-04-22,3020,99137
nation,England,E92000001,2020-04-21,3087,96117
nation,England,E92000001,2020-04-20,2401,93030
nation,England,E92000001,2020-04-19,3607,90629
nation,England,E92000001,2020-04-18,3548,87022
nation,England,E92000001,2020-04-17,3985,83474
nation,England,E92000001,2020-04-16,3118,79489
nation,England,E92000001,2020-04-15,3188,76371
nation,England,E92000001,2020-04-14,3854,73183
nation,England,E92000001,2020-04-13,2999,69329
nation,England,E92000001,2020-04-12,3672,66330
nation,England,E92000001,2020-04-11,3841,62658
nation,England,E92000001,2020-04-10,4263,58817
nation,England,E92000001,2020-04-09,3798,54554
nation,England,E92000001,2020-04-08,4788,50756
nation,England,E92000001,2020-04-07,2978,45968
nation,England,E92000001,2020-04-06,3176,42990
nation,England,E92000001,2020-04-05,5107,39814
nation,England,E92000001,2020-04-04,2910,34707
nation,England,E92000001,2020-04-03,3576,31797
nation,England,E92000001,2020-04-02,3583,28221
nation,England,E92000001,2020-04-01,3630,24638
nation,England,E92000001,2020-03-31,2414,21008
nation,England,E92000001,2020-03-30,2107,18594
nation,England,E92000001,2020-03-29,2060,16487
nation,England,E92000001,2020-03-28,2139,14427
nation,England,E92000001,2020-03-27,2506,12288
nation,England,E92000001,2020-03-26,1809,9782
nation,England,E92000001,2020-03-25,1130,7973
nation,England,E92000001,2020-03-24,1258,6843
nation,England,E92000001,2020-03-23,793,5585
nation,England,E92000001,2020-03-22,535,4792
nation,England,E92000001,2020-03-21,873,4257
nation,England,E92000001,2020-03-20,628,3384
nation,England,E92000001,2020-03-19,574,2756
nation,England,E92000001,2020-03-18,625,2182
nation,England,E92000001,2020-03-17,361,1557
nation,England,E92000001,2020-03-16,97,1196
nation,England,E92000001,2020-03-15,253,1099
nation,England,E92000001,2020-03-14,201,846
nation,England,E92000001,2020-03-13,159,645
nation,England,E92000001,2020-03-12,99,486
nation,England,E92000001,2020-03-11,63,387
nation,England,E92000001,2020-03-10,46,324
nation,England,E92000001,2020-03-09,40,282
nation,England,E92000001,2020-03-08,58,241
nation,England,E92000001,2020-03-07,39,183
nation,England,E92000001,2020-03-06,39,144
nation,England,E92000001,2020-03-05,25,105
nation,England,E92000001,2020-03-04,32,80
nation,England,E92000001,2020-03-03,11,48
nation,England,E92000001,2020-03-02,4,37
nation,England,E92000001,2020-03-01,12,33
nation,England,E92000001,2020-02-29,3,21
nation,England,E92000001,2020-02-28,5,18
nation,England,E92000001,2020-02-27,0,13
nation,England,E92000001,2020-02-26,0,13
nation,England,E92000001,2020-02-25,0,13
nation,England,E92000001,2020-02-24,4,13
nation,England,E92000001,2020-02-23,0,9
nation,England,E92000001,2020-02-22,0,9
nation,England,E92000001,2020-02-21,0,9
nation,England,E92000001,2020-02-20,0,9
nation,England,E92000001,2020-02-19,0,9
nation,England,E92000001,2020-02-18,0,9
nation,England,E92000001,2020-02-17,0,9
nation,England,E92000001,2020-02-16,0,9
nation,England,E92000001,2020-02-15,0,9
nation,England,E92000001,2020-02-14,0,9
nation,England,E92000001,2020-02-13,1,9
nation,England,E92000001,2020-02-12,0,8
nation,England,E92000001,2020-02-11,0,8
nation,England,E92000001,2020-02-10,4,8
nation,England,E92000001,2020-02-09,1,4
nation,England,E92000001,2020-02-08,0,3
nation,England,E92000001,2020-02-07,0,3
nation,England,E92000001,2020-02-06,1,3
nation,England,E92000001,2020-02-05,0,2
nation,England,E92000001,2020-02-04,0,2
nation,England,E92000001,2020-02-03,0,2
nation,England,E92000001,2020-02-02,0,2
nation,England,E92000001,2020-02-01,0,2
nation,England,E92000001,2020-01-31,2,2
nation,England,E92000001,2020-01-30,0,
nation,England,E92000001,2020-01-29,0,
nation,England,E92000001,2020-01-28,0,
nation,England,E92000001,2020-01-27,0,
nation,England,E92000001,2020-01-26,0,
nation,England,E92000001,2020-01-25,0,
nation,England,E92000001,2020-01-24,0,
nation,England,E92000001,2020-01-23,0,
nation,England,E92000001,2020-01-22,0,
nation,England,E92000001,2020-01-21,0,
nation,England,E92000001,2020-01-20,0,
nation,England,E92000001,2020-01-19,0,
nation,England,E92000001,2020-01-18,0,
nation,England,E92000001,2020-01-17,0,
nation,England,E92000001,2020-01-16,0,
nation,England,E92000001,2020-01-15,0,
nation,England,E92000001,2020-01-14,0,
nation,England,E92000001,2020-01-13,0,
nation,England,E92000001,2020-01-12,0,
nation,England,E92000001,2020-01-11,0,
nation,England,E92000001,2020-01-10,0,
nation,England,E92000001,2020-01-09,0,
nation,England,E92000001,2020-01-08,0,
nation,England,E92000001,2020-01-07,0,
nation,England,E92000001,2020-01-06,0,
nation,England,E92000001,2020-01-05,0,
nation,England,E92000001,2020-01-04,0,
nation,England,E92000001,2020-01-03,0,
nation,Northern Ireland,N92000002,2020-10-09,1080,18190
nation,Northern Ireland,N92000002,2020-10-08,923,17110
nation,Northern Ireland,N92000002,2020-10-07,828,16187
nation,Northern Ireland,N92000002,2020-10-06,669,15359
nation,Northern Ireland,N92000002,2020-10-05,616,14690
nation,Northern Ireland,N92000002,2020-10-04,462,14074
nation,Northern Ireland,N92000002,2020-10-03,726,13612
nation,Northern Ireland,N92000002,2020-10-02,934,12886
nation,Northern Ireland,N92000002,2020-10-01,259,11952
nation,Northern Ireland,N92000002,2020-09-30,424,11693
nation,Northern Ireland,N92000002,2020-09-29,320,11269
nation,Northern Ireland,N92000002,2020-09-28,220,10949
nation,Northern Ireland,N92000002,2020-09-27,187,10729
nation,Northern Ireland,N92000002,2020-09-26,319,10542
nation,Northern Ireland,N92000002,2020-09-25,273,10223
nation,Northern Ireland,N92000002,2020-09-24,189,9950
nation,Northern Ireland,N92000002,2020-09-23,220,9761
nation,Northern Ireland,N92000002,2020-09-22,75,9541
nation,Northern Ireland,N92000002,2020-09-21,125,9466
nation,Northern Ireland,N92000002,2020-09-20,176,9341
nation,Northern Ireland,N92000002,2020-09-19,222,9165
nation,Northern Ireland,N92000002,2020-09-18,163,8943
nation,Northern Ireland,N92000002,2020-09-17,149,8780
nation,Northern Ireland,N92000002,2020-09-16,129,8631
nation,Northern Ireland,N92000002,2020-09-15,79,8502
nation,Northern Ireland,N92000002,2020-09-14,109,8423
nation,Northern Ireland,N92000002,2020-09-13,87,8314
nation,Northern Ireland,N92000002,2020-09-12,104,8227
nation,Northern Ireland,N92000002,2020-09-11,88,8123
nation,Northern Ireland,N92000002,2020-09-10,78,8035
nation,Northern Ireland,N92000002,2020-09-09,49,7957
nation,Northern Ireland,N92000002,2020-09-08,40,7908
nation,Northern Ireland,N92000002,2020-09-07,141,7868
nation,Northern Ireland,N92000002,2020-09-06,106,7727
nation,Northern Ireland,N92000002,2020-09-05,118,7621
nation,Northern Ireland,N92000002,2020-09-04,61,7503
nation,Northern Ireland,N92000002,2020-09-03,77,7442
nation,Northern Ireland,N92000002,2020-09-02,71,7365
nation,Northern Ireland,N92000002,2020-09-01,49,7294
nation,Northern Ireland,N92000002,2020-08-31,58,7245
nation,Northern Ireland,N92000002,2020-08-30,49,7187
nation,Northern Ireland,N92000002,2020-08-29,89,7138
nation,Northern Ireland,N92000002,2020-08-28,85,7049
nation,Northern Ireland,N92000002,2020-08-27,69,6964
nation,Northern Ireland,N92000002,2020-08-26,72,6895
nation,Northern Ireland,N92000002,2020-08-25,47,6823
nation,Northern Ireland,N92000002,2020-08-24,10,6776
nation,Northern Ireland,N92000002,2020-08-23,119,6766
nation,Northern Ireland,N92000002,2020-08-22,71,6647
nation,Northern Ireland,N92000002,2020-08-21,20,6576
nation,Northern Ireland,N92000002,2020-08-20,51,6556
nation,Northern Ireland,N92000002,2020-08-19,34,6505
nation,Northern Ireland,N92000002,2020-08-18,41,6471
nation,Northern Ireland,N92000002,2020-08-17,39,6430
nation,Northern Ireland,N92000002,2020-08-16,27,6391
nation,Northern Ireland,N92000002,2020-08-15,65,6364
nation,Northern Ireland,N92000002,2020-08-14,74,6299
nation,Northern Ireland,N92000002,2020-08-13,8,6225
nation,Northern Ireland,N92000002,2020-08-12,29,6217
nation,Northern Ireland,N92000002,2020-08-11,48,6188
nation,Northern Ireland,N92000002,2020-08-10,0,6140
nation,Northern Ireland,N92000002,2020-08-09,0,6064
nation,Northern Ireland,N92000002,2020-08-08,0,6064
nation,Northern Ireland,N92000002,2020-08-07,15,6064
nation,Northern Ireland,N92000002,2020-08-06,43,6049
nation,Northern Ireland,N92000002,2020-08-05,10,6006
nation,Northern Ireland,N92000002,2020-08-04,8,5996
nation,Northern Ireland,N92000002,2020-08-03,0,5988
nation,Northern Ireland,N92000002,2020-08-02,0,5948
nation,Northern Ireland,N92000002,2020-08-01,0,5948
nation,Northern Ireland,N92000002,2020-07-31,10,5948
nation,Northern Ireland,N92000002,2020-07-30,8,5938
nation,Northern Ireland,N92000002,2020-07-29,9,5930
nation,Northern Ireland,N92000002,2020-07-28,9,5921
nation,Northern Ireland,N92000002,2020-07-27,0,5912
nation,Northern Ireland,N92000002,2020-07-26,0,5891
nation,Northern Ireland,N92000002,2020-07-25,0,5891
nation,Northern Ireland,N92000002,2020-07-24,15,5891
nation,Northern Ireland,N92000002,2020-07-23,8,5876
nation,Northern Ireland,N92000002,2020-07-22,9,5868
nation,Northern Ireland,N92000002,2020-07-21,2,5859
nation,Northern Ireland,N92000002,2020-07-20,0,5857
nation,Northern Ireland,N92000002,2020-07-19,0,5834
nation,Northern Ireland,N92000002,2020-07-18,0,5834
nation,Northern Ireland,N92000002,2020-07-17,19,5834
nation,Northern Ireland,N92000002,2020-07-16,16,5815
nation,Northern Ireland,N92000002,2020-07-15,9,5799
nation,Northern Ireland,N92000002,2020-07-14,2,5790
nation,Northern Ireland,N92000002,2020-07-13,0,5788
nation,Northern Ireland,N92000002,2020-07-12,0,5772
nation,Northern Ireland,N92000002,2020-07-11,0,5772
nation,Northern Ireland,N92000002,2020-07-10,4,5772
nation,Northern Ireland,N92000002,2020-07-09,3,5768
nation,Northern Ireland,N92000002,2020-07-08,4,5765
nation,Northern Ireland,N92000002,2020-07-07,5,5761
nation,Northern Ireland,N92000002,2020-07-06,0,5756
nation,Northern Ireland,N92000002,2020-07-05,0,5747
nation,Northern Ireland,N92000002,2020-07-04,0,5747
nation,Northern Ireland,N92000002,2020-07-03,4,5747
nation,Northern Ireland,N92000002,2020-07-02,7,5768
nation,Northern Ireland,N92000002,2020-07-01,1,5761
nation,Northern Ireland,N92000002,2020-06-30,3,5760
nation,Northern Ireland,N92000002,2020-06-29,6,5757
nation,Northern Ireland,N92000002,2020-06-28,1,5751
nation,Northern Ireland,N92000002,2020-06-27,2,5750
nation,Northern Ireland,N92000002,2020-06-26,4,5748
nation,Northern Ireland,N92000002,2020-06-25,1,4874
nation,Northern Ireland,N92000002,2020-06-24,2,4873
nation,Northern Ireland,N92000002,2020-06-23,0,4871
nation,Northern Ireland,N92000002,2020-06-22,1,4871
nation,Northern Ireland,N92000002,2020-06-21,4,4870
nation,Northern Ireland,N92000002,2020-06-20,0,4866
nation,Northern Ireland,N92000002,2020-06-19,3,4866
nation,Northern Ireland,N92000002,2020-06-18,1,4863
nation,Northern Ireland,N92000002,2020-06-17,8,4862
nation,Northern Ireland,N92000002,2020-06-16,2,4854
nation,Northern Ireland,N92000002,2020-06-15,4,4852
nation,Northern Ireland,N92000002,2020-06-14,7,4848
nation,Northern Ireland,N92000002,2020-06-13,3,4841
nation,Northern Ireland,N92000002,2020-06-12,16,4838
nation,Northern Ireland,N92000002,2020-06-11,4,4822
nation,Northern Ireland,N92000002,2020-06-10,13,4818
nation,Northern Ireland,N92000002,2020-06-09,3,4805
nation,Northern Ireland,N92000002,2020-06-08,6,4802
nation,Northern Ireland,N92000002,2020-06-07,6,4796
nation,Northern Ireland,N92000002,2020-06-06,14,4790
nation,Northern Ireland,N92000002,2020-06-05,3,4776
nation,Northern Ireland,N92000002,2020-06-04,33,4773
nation,Northern Ireland,N92000002,2020-06-03,8,4740
nation,Northern Ireland,N92000002,2020-06-02,4,4732
nation,Northern Ireland,N92000002,2020-06-01,12,4728
nation,Northern Ireland,N92000002,2020-05-31,7,4716
nation,Northern Ireland,N92000002,2020-05-30,13,4709
nation,Northern Ireland,N92000002,2020-05-29,17,4696
nation,Northern Ireland,N92000002,2020-05-28,16,4679
nation,Northern Ireland,N92000002,2020-05-27,26,4663
nation,Northern Ireland,N92000002,2020-05-26,28,4637
nation,Northern Ireland,N92000002,2020-05-25,39,4609
nation,Northern Ireland,N92000002,2020-05-24,25,4570
nation,Northern Ireland,N92000002,2020-05-23,41,4545
nation,Northern Ireland,N92000002,2020-05-22,23,4504
nation,Northern Ireland,N92000002,2020-05-21,42,4481
nation,Northern Ireland,N92000002,2020-05-20,18,4439
nation,Northern Ireland,N92000002,2020-05-19,20,4421
nation,Northern Ireland,N92000002,2020-05-18,16,4401
nation,Northern Ireland,N92000002,2020-05-17,28,4385
nation,Northern Ireland,N92000002,2020-05-16,40,4357
nation,Northern Ireland,N92000002,2020-05-15,26,4317
nation,Northern Ireland,N92000002,2020-05-14,38,4291
nation,Northern Ireland,N92000002,2020-05-13,60,4253
nation,Northern Ireland,N92000002,2020-05-12,44,4193
nation,Northern Ireland,N92000002,2020-05-11,30,4149
nation,Northern Ireland,N92000002,2020-05-10,41,4119
nation,Northern Ireland,N92000002,2020-05-09,56,4078
nation,Northern Ireland,N92000002,2020-05-08,38,4022
nation,Northern Ireland,N92000002,2020-05-07,50,3984
nation,Northern Ireland,N92000002,2020-05-06,53,3934
nation,Northern Ireland,N92000002,2020-05-05,45,3881
nation,Northern Ireland,N92000002,2020-05-04,69,3836
nation,Northern Ireland,N92000002,2020-05-03,78,3767
nation,Northern Ireland,N92000002,2020-05-02,66,3689
nation,Northern Ireland,N92000002,2020-05-01,87,3623
nation,Northern Ireland,N92000002,2020-04-30,73,3536
nation,Northern Ireland,N92000002,2020-04-29,55,3463
nation,Northern Ireland,N92000002,2020-04-28,34,3408
nation,Northern Ireland,N92000002,2020-04-27,66,3374
nation,Northern Ireland,N92000002,2020-04-26,82,3308
nation,Northern Ireland,N92000002,2020-04-25,104,3226
nation,Northern Ireland,N92000002,2020-04-24,106,3122
nation,Northern Ireland,N92000002,2020-04-23,142,3016
nation,Northern Ireland,N92000002,2020-04-22,116,2874
nation,Northern Ireland,N92000002,2020-04-21,30,2758
nation,Northern Ireland,N92000002,2020-04-20,83,2728
nation,Northern Ireland,N92000002,2020-04-19,159,2645
nation,Northern Ireland,N92000002,2020-04-18,148,2486
nation,Northern Ireland,N92000002,2020-04-17,137,2338
nation,Northern Ireland,N92000002,2020-04-16,113,2201
nation,Northern Ireland,N92000002,2020-04-15,121,2088
nation,Northern Ireland,N92000002,2020-04-14,85,1967
nation,Northern Ireland,N92000002,2020-04-13,76,1882
nation,Northern Ireland,N92000002,2020-04-12,89,1806
nation,Northern Ireland,N92000002,2020-04-11,128,1717
nation,Northern Ireland,N92000002,2020-04-10,112,1589
nation,Northern Ireland,N92000002,2020-04-09,138,1477
nation,Northern Ireland,N92000002,2020-04-08,84,1339
nation,Northern Ireland,N92000002,2020-04-07,97,1255
nation,Northern Ireland,N92000002,2020-04-06,69,1158
nation,Northern Ireland,N92000002,2020-04-05,91,1089
nation,Northern Ireland,N92000002,2020-04-04,94,998
nation,Northern Ireland,N92000002,2020-04-03,130,904
nation,Northern Ireland,N92000002,2020-04-02,85,774
nation,Northern Ireland,N92000002,2020-04-01,103,689
nation,Northern Ireland,N92000002,2020-03-31,53,586
nation,Northern Ireland,N92000002,2020-03-30,123,533
nation,Northern Ireland,N92000002,2020-03-29,86,410
nation,Northern Ireland,N92000002,2020-03-28,49,324
nation,Northern Ireland,N92000002,2020-03-27,34,275
nation,Northern Ireland,N92000002,2020-03-26,32,241
nation,Northern Ireland,N92000002,2020-03-25,37,209
nation,Northern Ireland,N92000002,2020-03-24,24,172
nation,Northern Ireland,N92000002,2020-03-23,20,148
nation,Northern Ireland,N92000002,2020-03-22,20,128
nation,Northern Ireland,N92000002,2020-03-21,22,108
nation,Northern Ireland,N92000002,2020-03-20,9,86
nation,Northern Ireland,N92000002,2020-03-19,9,77
nation,Northern Ireland,N92000002,2020-03-18,6,68
nation,Northern Ireland,N92000002,2020-03-17,10,62
nation,Northern Ireland,N92000002,2020-03-16,7,52
nation,Northern Ireland,N92000002,2020-03-15,11,45
nation,Northern Ireland,N92000002,2020-03-14,5,34
nation,Northern Ireland,N92000002,2020-03-13,10,29
