areaType,areaName,areaCode,date,newDeaths28DaysByDeathDate,cumDeaths28DaysByDeathDate
nation,England,E92000001,2020-10-08,14,37902
nation,England,E92000001,2020-10-07,60,37888
nation,England,E92000001,2020-10-06,49,37828
nation,England,E92000001,2020-10-05,52,37779
nation,England,E92000001,2020-10-04,43,37727
nation,England,E92000001,2020-10-03,43,37684
nation,England,E92000001,2020-10-02,56,37641
nation,England,E92000001,2020-10-01,47,37585
nation,England,E92000001,2020-09-30,49,37538
nation,England,E92000001,2020-09-29,41,37489
nation,England,E92000001,2020-09-28,46,37448
nation,England,E92000001,2020-09-27,38,37402
nation,England,E92000001,2020-09-26,35,37364
nation,England,E92000001,2020-09-25,29,37329
nation,England,E92000001,2020-09-24,32,37300
nation,England,E92000001,2020-09-23,51,37268
nation,England,E92000001,2020-09-22,33,37217
nation,England,E92000001,2020-09-21,24,37184
nation,England,E92000001,2020-09-20,27,37160
nation,England,E92000001,2020-09-19,18,37133
nation,England,E92000001,2020-09-18,21,37115
nation,England,E92000001,2020-09-17,24,37094
nation,England,E92000001,2020-09-16,22,37070
nation,England,E92000001,2020-09-15,15,37048
nation,England,E92000001,2020-09-14,17,37033
nation,England,E92000001,2020-09-13,14,37016
nation,England,E92000001,2020-09-12,18,37002
nation,England,E92000001,2020-09-11,10,36984
nation,England,E92000001,2020-09-10,12,36974
nation,England,E92000001,2020-09-09,9,36962
nation,England,E92000001,2020-09-08,9,36953
nation,England,E92000001,2020-09-07,13,36944
nation,England,E92000001,2020-09-06,8,36931
nation,England,E92000001,2020-09-05,12,36923
nation,England,E92000001,2020-09-04,6,36911
nation,England,E92000001,2020-09-03,7,36905
nation,England,E92000001,2020-09-02,8,36898
nation,England,E92000001,2020-09-01,2,36890
nation,England,E92000001,2020-08-31,6,36888
nation,England,E92000001,2020-08-30,5,36882
nation,England,E92000001,2020-08-29,5,36877
nation,England,E92000001,2020-08-28,8,36872
nation,England,E92000001,2020-08-27,7,36864
nation,England,E92000001,2020-08-26,11,36857
nation,England,E92000001,2020-08-25,11,36846
nation,England,E92000001,2020-08-24,5,36835
nation,England,E92000001,2020-08-23,13,36830
nation,England,E92000001,2020-08-22,5,36817
nation,England,E92000001,2020-08-21,7,36812
nation,England,E92000001,2020-08-20,8,36805
nation,England,E92000001,2020-08-19,2,36797
nation,England,E92000001,2020-08-18,8,36795
nation,England,E92000001,2020-08-17,12,36787
nation,England,E92000001,2020-08-16,4,36775
nation,England,E92000001,2020-08-15,11,36771
nation,England,E92000001,2020-08-14,6,36760
nation,England,E92000001,2020-08-13,7,36754
nation,England,E92000001,2020-08-12,6,36747
nation,England,E92000001,2020-08-11,10,36741
nation,England,E92000001,2020-08-10,11,36731
nation,England,E92000001,2020-08-09,8,36720
nation,England,E92000001,2020-08-08,11,36712
nation,England,E92000001,2020-08-07,7,36701
