areaType,areaName,areaCode,date,covidOccupiedMVBeds
nation,England,E92000001,2020-10-09,367
nation,England,E92000001,2020-10-08,368
nation,England,E92000001,2020-10-07,376
nation,England,E92000001,2020-10-06,349
nation,England,E92000001,2020-10-05,331
nation,England,E92000001,2020-10-04,310
nation,England,E92000001,2020-10-03,307
nation,England,E92000001,2020-10-02,310
nation,England,E92000001,2020-10-01,285
nation,England,E92000001,2020-09-30,281
nation,England,E92000001,2020-09-29,259
nation,England,E92000001,2020-09-28,245
nation,England,E92000001,2020-09-27,233
nation,England,E92000001,2020-09-26,223
nation,England,E92000001,2020-09-25,227
nation,England,E92000001,2020-09-24,209
nation,England,E92000001,2020-09-23,192
nation,England,E92000001,2020-09-22,179
nation,England,E92000001,2020-09-21,154
nation,England,E92000001,2020-09-20,142
nation,England,E92000001,2020-09-19,123
nation,England,E92000001,2020-09-18,115
nation,England,E92000001,2020-09-17,108
nation,England,E92000001,2020-09-16,107
nation,England,E92000001,2020-09-15,101
nation,England,E92000001,2020-09-14,88
nation,England,E92000001,2020-09-13,74
nation,England,E92000001,2020-09-12,70
nation,England,E92000001,2020-09-11,63
nation,England,E92000001,2020-09-10,62
nation,England,E92000001,2020-09-09,64
nation,England,E92000001,2020-09-08,64
nation,England,E92000001,2020-09-07,62
nation,England,E92000001,2020-09-06,52
nation,England,E92000001,2020-09-05,50
nation,England,E92000001,2020-09-04,54
nation,England,E92000001,2020-09-03,58
nation,England,E92000001,2020-09-02,59
nation,England,E92000001,2020-09-01,59
nation,England,E92000001,2020-08-31,54
nation,England,E92000001,2020-08-30,52
nation,England,E92000001,2020-08-29,56
nation,England,E92000001,2020-08-28,52
nation,England,E92000001,2020-08-27,62
nation,England,E92000001,2020-08-26,55
nation,England,E92000001,2020-08-25,62
nation,England,E92000001,2020-08-24,62
nation,England,E92000001,2020-08-23,65
nation,England,E92000001,2020-08-22,66
nation,England,E92000001,2020-08-21,64
nation,England,E92000001,2020-08-20,64
nation,England,E92000001,2020-08-19,63
nation,England,E92000001,2020-08-18,64
nation,England,E92000001,2020-08-17,67
nation,England,E92000001,2020-08-16,69
nation,England,E92000001,2020-08-15,68
nation,England,E92000001,2020-08-14,63
nation,England,E92000001,2020-08-13,64
nation,England,E92000001,2020-08-12,68
nation,England,E92000001,2020-08-11,63
nation,England,E92000001,2020-08-10,60
nation,England,E92000001,2020-08-09,56
nation,England,E92000001,2020-08-08,55
nation,England,E92000001,2020-08-07,57
nation,England,E92000001,2020-08-06,61
nation,England,E92000001,2020-08-05,63
nation,England,E92000001,2020-08-04,65
nation,England,E92000001,2020-08-03,67
nation,England,E92000001,2020-08-02,68
nation,England,E92000001,2020-08-01,74
nation,England,E92000001,2020-07-31,71
nation,England,E92000001,2020-07-30,70
nation,England,E92000001,2020-07-29,72
nation,England,E92000001,2020-07-28,78
nation,England,E92000001,2020-07-27,83
nation,England,E92000001,2020-07-26,81
nation,England,E92000001,2020-07-25,82
nation,England,E92000001,2020-07-24,92
nation,England,E92000001,2020-07-23,101
nation,England,E92000001,2020-07-22,97
nation,England,E92000001,2020-07-21,106
nation,England,E92000001,2020-07-20,112
nation,England,E92000001,2020-07-19,119
nation,England,E92000001,2020-07-18,118
nation,England,E92000001,2020-07-17,122
nation,England,E92000001,2020-07-16,118
nation,England,E92000001,2020-07-15,136
nation,England,E92000001,2020-07-14,123
nation,England,E92000001,2020-07-13,138
nation,England,E92000001,2020-07-12,139
nation,England,E92000001,2020-07-11,152
nation,England,E92000001,2020-07-10,162
nation,England,E92000001,2020-07-09,167
nation,England,E92000001,2020-07-08,164
nation,England,E92000001,2020-07-07,178
nation,England,E92000001,2020-07-06,188
nation,England,E92000001,2020-07-05,190
nation,England,E92000001,2020-07-04,186
nation,England,E92000001,2020-07-03,202
nation,England,E92000001,2020-07-02,211
nation,England,E92000001,2020-07-01,220
nation,England,E92000001,2020-06-30,238
nation,England,E92000001,2020-06-29,228
nation,England,E92000001,2020-06-28,236
nation,England,E92000001,2020-06-27,233
nation,England,E92000001,2020-06-26,226
nation,England,E92000001,2020-06-25,236
nation,England,E92000001,2020-06-24,264
nation,England,E92000001,2020-06-23,266
nation,England,E92000001,2020-06-22,296
nation,England,E92000001,2020-06-21,265
nation,England,E92000001,2020-06-20,266
nation,England,E92000001,2020-06-19,283
nation,England,E92000001,2020-06-18,299
nation,England,E92000001,2020-06-17,300
nation,England,E92000001,2020-06-16,327
nation,England,E92000001,2020-06-15,327
