Year,Measure,Sex,OrgCode,Admissions,Stand_Admissions_Rate,
2018/19,FAE_Primary_Obesity,All persons,E38000001,15,10,
2018/19,FAE_Primary_Obesity,All persons,E38000002,25,19,
2018/19,FAE_Primary_Obesity,All persons,E38000004,60,32,
2018/19,FAE_Primary_Obesity,All persons,E38000005,90,25,
2018/19,FAE_Primary_Obesity,All persons,E38000006,40,17,
2018/19,FAE_Primary_Obesity,All persons,E38000007,40,15,
2018/19,FAE_Primary_Obesity,All persons,E38000008,10,9,
2018/19,FAE_Primary_Obesity,All persons,E38000009,20,13,
2018/19,FAE_Primary_Obesity,All persons,E38000010,85,20,
2018/19,FAE_Primary_Obesity,All persons,E38000011,110,45,
2018/19,FAE_Primary_Obesity,All persons,E38000014,25,18,
2018/19,FAE_Primary_Obesity,All persons,E38000015,10,9,
2018/19,FAE_Primary_Obesity,All persons,E38000016,50,18,
2018/19,FAE_Primary_Obesity,All persons,E38000018,,8,
2018/19,FAE_Primary_Obesity,All persons,E38000019,20,6,
2018/19,FAE_Primary_Obesity,All persons,E38000020,90,30,
2018/19,FAE_Primary_Obesity,All persons,E38000021,50,19,
2018/19,FAE_Primary_Obesity,All persons,E38000023,105,31,
2018/19,FAE_Primary_Obesity,All persons,E38000024,30,15,
2018/19,FAE_Primary_Obesity,All persons,E38000025,40,19,
2018/19,FAE_Primary_Obesity,All persons,E38000026,130,15,
2018/19,FAE_Primary_Obesity,All persons,E38000027,45,18,
2018/19,FAE_Primary_Obesity,All persons,E38000028,35,26,
2018/19,FAE_Primary_Obesity,All persons,E38000029,30,15,
2018/19,FAE_Primary_Obesity,All persons,E38000030,15,8,
2018/19,FAE_Primary_Obesity,All persons,E38000031,45,25,
2018/19,FAE_Primary_Obesity,All persons,E38000034,25,15,
2018/19,FAE_Primary_Obesity,All persons,E38000035,80,31,
2018/19,FAE_Primary_Obesity,All persons,E38000037,10,13,
2018/19,FAE_Primary_Obesity,All persons,E38000038,100,24,
2018/19,FAE_Primary_Obesity,All persons,E38000039,20,16,
2018/19,FAE_Primary_Obesity,All persons,E38000040,120,31,
2018/19,FAE_Primary_Obesity,All persons,E38000042,30,29,
2018/19,FAE_Primary_Obesity,All persons,E38000043,80,32,
2018/19,FAE_Primary_Obesity,All persons,E38000044,120,39,
2018/19,FAE_Primary_Obesity,All persons,E38000045,90,12,
2018/19,FAE_Primary_Obesity,All persons,E38000046,45,15,
2018/19,FAE_Primary_Obesity,All persons,E38000047,180,69,
