Year,Measure,Sex,OrgCode,Admissions,Stand_Admissions_Rate,
2018/19,FAE_Primary_Obesity,All persons,E06000001,50,56,
2018/19,FAE_Primary_Obesity,All persons,E06000002,45,34,
2018/19,FAE_Primary_Obesity,All persons,E06000003,75,58,
2018/19,FAE_Primary_Obesity,All persons,E06000004,95,50,
2018/19,FAE_Primary_Obesity,All persons,E06000005,30,29,
2018/19,FAE_Primary_Obesity,All persons,E06000006,20,16,
2018/19,FAE_Primary_Obesity,All persons,E06000007,25,11,
2018/19,FAE_Primary_Obesity,All persons,E06000008,25,18,
2018/19,FAE_Primary_Obesity,All persons,E06000009,10,9,
2018/19,FAE_Primary_Obesity,All persons,E06000010,10,5,
2018/19,FAE_Primary_Obesity,All persons,E06000011,20,6,
2018/19,FAE_Primary_Obesity,All persons,E06000012,25,16,
2018/19,FAE_Primary_Obesity,All persons,E06000013,20,13,
2018/19,FAE_Primary_Obesity,All persons,E06000014,10,6,
2018/19,FAE_Primary_Obesity,All persons,E06000015,35,14,
2018/19,FAE_Primary_Obesity,All persons,E06000016,25,8,
2018/19,FAE_Primary_Obesity,All persons,E06000017,,6,
2018/19,FAE_Primary_Obesity,All persons,E06000018,35,13,
2018/19,FAE_Primary_Obesity,All persons,E06000019,35,18,
2018/19,FAE_Primary_Obesity,All persons,E06000020,95,54,
2018/19,FAE_Primary_Obesity,All persons,E06000021,105,44,
2018/19,FAE_Primary_Obesity,All persons,E06000022,20,13,
2018/19,FAE_Primary_Obesity,All persons,E06000023,80,19,
2018/19,FAE_Primary_Obesity,All persons,E06000024,25,12,
2018/19,FAE_Primary_Obesity,All persons,E06000025,45,16,
2018/19,FAE_Primary_Obesity,All persons,E06000026,55,24,
2018/19,FAE_Primary_Obesity,All persons,E06000027,15,12,
2018/19,FAE_Primary_Obesity,All persons,E06000028,30,15,
2018/19,FAE_Primary_Obesity,All persons,E06000029,20,12,
2018/19,FAE_Primary_Obesity,All persons,E06000030,30,12,
2018/19,FAE_Primary_Obesity,All persons,E06000031,40,21,
2018/19,FAE_Primary_Obesity,All persons,E06000032,100,45,
2018/19,FAE_Primary_Obesity,All persons,E06000033,15,9,
2018/19,FAE_Primary_Obesity,All persons,E06000034,35,20,
2018/19,FAE_Primary_Obesity,All persons,E06000035,120,44,
2018/19,FAE_Primary_Obesity,All persons,E06000036,10,7,
2018/19,FAE_Primary_Obesity,All persons,E06000037,40,24,
2018/19,FAE_Primary_Obesity,All persons,E06000038,40,27,
2018/19,FAE_Primary_Obesity,All persons,E06000039,25,17,
2018/19,FAE_Primary_Obesity,All persons,E06000040,15,10,
2018/19,FAE_Primary_Obesity,All persons,E06000041,35,22,
2018/19,FAE_Primary_Obesity,All persons,E06000042,60,23,
2018/19,FAE_Primary_Obesity,All persons,E06000043,50,19,
2018/19,FAE_Primary_Obesity,All persons,E06000044,65,35,
