objectid,ccg18cd,ccg18nm,bng_e,bng_n,long,lat,st_areashape,st_lengthshape
1,E38000001,"NHS Airedale, Wharfedale and Craven CCG",393990,462191,-2.0933001,54.0556488,1220633012.25816,222000.154543148
2,E38000002,NHS Ashford CCG,597640,140644,0.82337397,51.13095856,580617224.92808,149426.082726867
3,E38000004,NHS Barking and Dagenham CCG,547758,185109,0.129493,51.54552841,36091041.104372,40665.2789272553
4,E38000005,NHS Barnet CCG,523471,191753,-0.21822,51.61108017,86736441.8487469,50842.3131014212
5,E38000006,NHS Barnsley CCG,429979,403330,-1.54925001,53.5257988,329052050.351673,125518.601736474
6,E38000007,NHS Basildon and Brentwood CCG,564014,194421,0.36806801,51.62469864,263142523.0488,120224.102808673
7,E38000008,NHS Bassetlaw CCG,468073,384833,-0.97869998,53.35602188,637870612.818373,159653.370671329
8,E38000009,NHS Bath and North East Somerset CCG,366218,161999,-2.48653007,51.35604095,351122903.010116,141623.04586673
9,E38000010,NHS Bedfordshire CCG,508276,246439,-0.42045,52.10570145,1192076343.84736,268850.214710782
10,E38000011,NHS Bexley CCG,549201,175434,0.146198,51.45822144,60561288.9660067,45060.076327062
11,E38000014,NHS Blackburn with Darwen CCG,369490,422806,-2.46359992,53.70080185,137012584.530345,65249.0821101857
12,E38000015,NHS Blackpool CCG,332763,436633,-3.02284002,53.8216095,34881806.4072875,34861.1794159831
13,E38000016,NHS Bolton CCG,368353,409877,-2.47950006,53.58452988,139802482.349217,81548.9934184882
14,E38000018,NHS Bradford City CCG,416365,433817,-1.75302005,53.80041122,16485824.191252,34924.2205378982
15,E38000019,NHS Bradford Districts CCG,409837,435093,-1.85209,53.81203842,169574866.46563,119872.527080854
16,E38000020,NHS Brent CCG,519615,186468,-0.27568001,51.56441116,43235288.4884923,38346.5067346316
17,E38000021,NHS Brighton and Hove CCG,530280,106856,-0.15078001,50.84656143,82667589.7365161,60560.5946820387
18,E38000023,NHS Bromley CCG,542035,165713,0.039234,51.37271118,150153766.946242,75929.8074488324
19,E38000024,NHS Bury CCG,379662,410766,-2.3087399,53.59307861,99483827.9701446,68155.8293200312
20,E38000025,NHS Calderdale CCG,402615,424896,-1.96185005,53.72048187,363922811.946115,107035.718540624
21,E38000026,NHS Cambridgeshire and Peterborough CCG,530882,268396,-0.08209,52.29811096,3753860268.22867,564029.024272883
22,E38000027,NHS Camden CCG,527491,184282,-0.16291,51.54304123,21796077.7719197,26133.2211329359
23,E38000028,NHS Cannock Chase CCG,401391,311481,-1.98083997,52.70101166,133721659.286423,83242.2842061798
24,E38000029,NHS Canterbury and Coastal CCG,614567,157885,1.07524204,51.27967834,604948582.498357,272706.791837236
25,E38000030,NHS Castle Point and Rochford CCG,584564,190872,0.66275299,51.58647156,214567364.334716,236305.348624412
26,E38000031,NHS Central London (Westminster) CCG,528186,181157,-0.15403,51.51480103,18272667.8649145,27614.914318128
27,E38000034,NHS Chorley and South Ribble CCG,355780,419723,-2.67080998,53.67211151,236359834.76367,98538.5767553735
28,E38000035,NHS City and Hackney CCG,534305,185815,-0.06412,51.55524063,21961999.5970071,33514.170778501
29,E38000037,NHS Corby CCG,487862,290681,-0.7069,52.50696945,80282989.3839754,66299.1576642321
30,E38000038,NHS Coventry and Rugby CCG,440924,277502,-1.40000999,52.39403152,452208764.092281,143390.859138262
31,E38000039,NHS Crawley CCG,526390,137581,-0.19532999,51.12356949,44971041.6435253,38793.1658389307
32,E38000040,NHS Croydon CCG,533922,164745,-0.07761,51.36597824,86519242.7947455,58603.695909742
33,E38000042,NHS Darlington CCG,428028,515648,-1.56836998,54.53533936,197474993.576034,107073.011824815
34,E38000043,"NHS Dartford, Gravesham and Swanley CCG",560564,168881,0.306651,51.39624023,268037096.366139,100791.419344083
35,E38000044,NHS Doncaster CCG,459170,403735,-1.10889995,53.52696991,567991234.512184,170279.821265336
36,E38000045,NHS Dorset CCG,375748,99796,-2.34546995,50.79719925,2652553325.76939,600884.109171905
37,E38000046,NHS Dudley CCG,393195,288584,-2.10165,52.49512863,97957468.8824621,75391.2137595902
38,E38000047,"NHS Durham Dales, Easington and Sedgefield CCG",411731,529525,-1.81966996,54.66067886,1706528783.17544,334802.425291723
39,E38000048,NHS Ealing CCG,517058,181961,-0.31404999,51.52444077,55525695.4854447,47268.9945461573
40,E38000049,NHS East and North Hertfordshire CCG,531970,221973,-0.08409,51.8807106,985528236.817792,197694.667380406
41,E38000050,NHS East Lancashire CCG,378788,436559,-2.32371998,53.82487106,914144552.684303,208101.687929865
42,E38000051,NHS East Leicestershire and Rutland CCG,483655,310188,-0.76394999,52.68294907,1598481231.02328,333380.199624668
43,E38000052,NHS East Riding of Yorkshire CCG,505033,462634,-0.39725,54.04898834,2150060001.00987,524461.258404143
44,E38000053,NHS East Staffordshire CCG,412597,321671,-1.81463003,52.79246902,475503791.546457,189531.139781225
45,E38000054,NHS East Surrey CCG,533485,150547,-0.08919,51.23849106,323989623.091413,110229.261562244
46,E38000055,"NHS Eastbourne, Hailsham and Seaford CCG",559136,105428,0.25817299,50.82651138,310837956.802655,117613.328097848
47,E38000056,NHS Eastern Cheshire CCG,383595,372237,-2.24729991,53.2469101,625500429.31597,190975.748101494
48,E38000057,NHS Enfield CCG,532829,196197,-0.08147,51.64888,82199174.474002,41081.4368773266
49,E38000058,NHS Erewash CCG,446887,337932,-1.30382001,52.93675995,60022943.4563377,58788.1613860508
50,E38000059,NHS Fareham and Gosport CCG,454137,104358,-1.23256004,50.83620834,99554514.5997575,90866.5532341208
51,E38000062,NHS Gloucestershire CCG,389595,213465,-2.15234995,51.81970978,2653248004.06663,533280.128727941
52,E38000063,NHS Great Yarmouth and Waveney CCG,641064,284517,1.54264796,52.40552902,543870581.742792,268657.484092588
53,E38000064,NHS Greater Huddersfield CCG,413671,412306,-1.79486001,53.60715103,314248669.575845,93414.6840137199
54,E38000066,NHS Greenwich CCG,542508,175882,0.050109,51.46397018,47343519.8083903,47579.8671776745
55,E38000068,NHS Halton CCG,354246,382146,-2.68852997,53.33423996,79094938.9450296,77633.1846294289
56,E38000069,"NHS Hambleton, Richmondshire and Whitby CCG",412296,495154,-1.81233001,54.35177994,2836448998.33973,501611.796804734
57,E38000070,NHS Hammersmith and Fulham CCG,523867,177994,-0.21735001,51.48733902,16404166.00671,23888.9927989078
58,E38000071,NHS Hardwick CCG,445557,366822,-1.31953001,53.19654846,217214646.895669,114278.477476077
59,E38000072,NHS Haringey CCG,531265,189350,-0.10662,51.58771896,29589078.0315286,28979.7941990203
60,E38000073,NHS Harrogate and Rural District CCG,427473,464652,-1.58160996,54.07707977,1309126195.23791,246953.33160484
61,E38000074,NHS Harrow CCG,515356,189733,-0.33603001,51.59463882,50469614.8551114,33724.9882329114
62,E38000075,NHS Hartlepool and Stockton-on-Tees CCG,445468,523188,-1.29770994,54.60184097,297791548.147411,204337.795883818
63,E38000076,NHS Hastings and Rother CCG,578730,119663,0.543064,50.94868088,541469682.294805,168449.478039967
64,E38000077,NHS Havering CCG,555032,187519,0.23537,51.56523895,112362816.47942,63490.547982824
65,E38000078,NHS Herefordshire CCG,349434,242833,-2.73931003,52.08153915,2179732733.50623,349186.696312828
66,E38000079,NHS Herts Valleys CCG,506779,204790,-0.45521,51.73167038,585051534.657377,173333.710664371
67,E38000080,"NHS Heywood, Middleton and Rochdale CCG",390314,412326,-2.14785004,53.60741043,158081395.230507,82409.659108518
68,E38000081,NHS High Weald Lewes Havens CCG,548695,120109,0.116006,50.96121979,860388010.718168,268387.708682501
69,E38000082,NHS Hillingdon CCG,508167,183120,-0.4418,51.53662872,115698715.359423,63839.5315184489
70,E38000083,NHS Horsham and Mid Sussex CCG,527997,124493,-0.177,51.0055809,581732046.465931,198667.635447917
71,E38000084,NHS Hounslow CCG,512742,174962,-0.37847,51.46240997,55986971.4663649,61276.4975575189
72,E38000085,NHS Hull CCG,511894,431716,-0.30379999,53.76979065,71449075.3665854,64391.2164122782
73,E38000086,NHS Ipswich and East Suffolk CCG,618753,257475,1.197685,52.1721611,2207701652.46169,632596.199082682
74,E38000087,NHS Isle of Wight CCG,447186,85950,-1.33361995,50.67129898,380161394.812542,192379.899921359
75,E38000088,NHS Islington CCG,531158,184645,-0.10992,51.54545975,14859896.064359,20651.7045628947
76,E38000089,NHS Kernow CCG,212501,64494,-4.64248991,50.45022964,3566091178.53693,1312260.31102957
77,E38000090,NHS Kingston CCG,519505,167386,-0.28371999,51.39292908,37247351.7837236,37482.0344734449
78,E38000091,NHS Knowsley CCG,344764,393521,-2.83290005,53.43556976,86469413.1014587,67876.581481954
79,E38000092,NHS Lambeth CCG,531119,175627,-0.11383,51.46443176,26822039.5732738,33893.7195711159
80,E38000097,NHS Leicester City CCG,458946,304594,-1.13039994,52.63592148,73313945.6860954,51821.2669879998
81,E38000098,NHS Lewisham CCG,537888,173344,-0.01734,51.44231033,35146499.3623014,41082.254315172
82,E38000099,NHS Lincolnshire East CCG,528460,367991,-0.07864,53.19351959,2628669474.05631,557103.568730861
83,E38000100,NHS Lincolnshire West CCG,496961,374198,-0.54804999,53.25595856,1164076539.39254,217385.867735806
84,E38000101,NHS Liverpool CCG,339361,390553,-2.91364002,53.40829849,111844126.379982,62501.7070932724
85,E38000102,NHS Luton CCG,508606,222559,-0.42319,51.89102173,43352906.1621214,34564.1942998694
86,E38000103,NHS Mansfield and Ashfield CCG,452041,360293,-1.22353995,53.13727188,170120821.433072,87196.9132024912
87,E38000104,NHS Medway CCG,578207,175194,0.56317198,51.44768906,192031637.902598,168738.94270986
88,E38000105,NHS Merton CCG,526069,169505,-0.18866999,51.41056061,37609226.2892313,32288.4823819879
89,E38000106,NHS Mid Essex CCG,582504,221445,0.64906001,51.86174011,1312721677.50813,470744.178071066
90,E38000107,NHS Milton Keynes CCG,486408,240029,-0.74128002,52.05192947,368491713.545524,119898.705701004
