objectid,ccg20cd,ccg20nm,bng_e,bng_n,long,lat,st_lengthshape,st_areashape
1,E38000004,NHS Barking and Dagenham CCG,547758,185109,0.129493,51.54552841,40665.2789272553,36091041.104372
2,E38000006,NHS Barnsley CCG,429979,403330,-1.54925001,53.5257988,125518.601736474,329052050.351673
3,E38000007,NHS Basildon and Brentwood CCG,564014,194421,0.36806801,51.62469864,120224.102808673,263142523.0488
4,E38000008,NHS Bassetlaw CCG,468073,384833,-0.97869998,53.35602188,159653.370671329,637870612.818373
5,E38000010,NHS Bedfordshire CCG,508276,246439,-0.42045,52.10570145,268850.214710782,1192076343.84736
6,E38000014,NHS Blackburn with Darwen CCG,369490,422806,-2.46359992,53.70080185,65249.0821101857,137012584.530345
7,E38000015,NHS Blackpool CCG,332763,436633,-3.02284002,53.8216095,34861.1794159831,34881806.4072875
8,E38000016,NHS Bolton CCG,368353,409877,-2.47950006,53.58452988,81548.9934184882,139802482.349217
9,E38000020,NHS Brent CCG,519615,186468,-0.27568001,51.56441116,38346.5067346316,43235288.4884923
10,E38000021,NHS Brighton and Hove CCG,530280,106856,-0.15078001,50.84656143,60560.5946820387,82667589.7365161
11,E38000024,NHS Bury CCG,379662,410766,-2.3087399,53.59307861,68155.8293200312,99483827.9701446
12,E38000025,NHS Calderdale CCG,402615,424896,-1.96185005,53.72048187,107035.718540624,363922811.946115
13,E38000026,NHS Cambridgeshire and Peterborough CCG,530882,268396,-0.08209,52.29811096,564029.024272883,3753860268.22867
14,E38000028,NHS Cannock Chase CCG,401391,311481,-1.98083997,52.70101166,83242.2842061798,133721659.286423
15,E38000030,NHS Castle Point and Rochford CCG,584564,190872,0.66275299,51.58647156,236305.348624412,214567364.334716
16,E38000031,NHS Central London (Westminster) CCG,528186,181157,-0.15403,51.51480103,27614.914318128,18272667.8649145
17,E38000034,NHS Chorley and South Ribble CCG,355780,419723,-2.67080998,53.67211151,98538.5767553735,236359834.76367
18,E38000035,NHS City and Hackney CCG,534305,185815,-0.06412,51.55524063,33514.170778501,21961999.5970071
19,E38000038,NHS Coventry and Rugby CCG,440924,277502,-1.40000999,52.39403152,143390.859138262,452208764.092281
20,E38000044,NHS Doncaster CCG,459170,403735,-1.10889995,53.52696991,170279.821265336,567991234.512184
21,E38000045,NHS Dorset CCG,375748,99796,-2.34546995,50.79719925,609067.767077326,2652424055.41582
22,E38000046,NHS Dudley CCG,393195,288584,-2.10165,52.49512863,75391.2137595902,97957468.8824621
23,E38000048,NHS Ealing CCG,517058,181961,-0.31404999,51.52444077,47268.9945461573,55525695.4854447
24,E38000049,NHS East and North Hertfordshire CCG,531970,221973,-0.08409,51.8807106,197694.667380406,985528236.817792
25,E38000050,NHS East Lancashire CCG,378788,436559,-2.32371998,53.82487106,208101.687929865,914144552.684303
26,E38000051,NHS East Leicestershire and Rutland CCG,483655,310188,-0.76394999,52.68294907,333380.199624668,1598481231.02328
27,E38000052,NHS East Riding of Yorkshire CCG,505033,462634,-0.39725,54.04898834,524461.258404143,2150060001.00987
28,E38000053,NHS East Staffordshire CCG,412597,321671,-1.81463003,52.79246902,189531.139781225,475503791.546457
29,E38000059,NHS Fareham and Gosport CCG,454137,104358,-1.23256004,50.83620834,90866.5532341208,99554514.5997575
30,E38000062,NHS Gloucestershire CCG,389595,213465,-2.15234995,51.81970978,533280.128727941,2653248004.06663
31,E38000064,NHS Greater Huddersfield CCG,413671,412306,-1.79486001,53.60715103,93414.6840137199,314248669.575845
32,E38000068,NHS Halton CCG,354246,382146,-2.68852997,53.33423996,77633.1846294289,79094938.9450296
33,E38000070,NHS Hammersmith and Fulham CCG,523867,177994,-0.21735001,51.48733902,23888.9927989078,16404166.00671
34,E38000074,NHS Harrow CCG,515356,189733,-0.33603001,51.59463882,33724.9882329114,50469614.8551114
35,E38000077,NHS Havering CCG,555032,187519,0.23537,51.56523895,63490.547982824,112362816.47942
36,E38000079,NHS Herts Valleys CCG,506779,204790,-0.45521,51.73167038,173333.710664371,585051534.657377
37,E38000080,"NHS Heywood, Middleton and Rochdale CCG",390314,412326,-2.14785004,53.60741043,82409.659108518,158081395.230507
38,E38000082,NHS Hillingdon CCG,508167,183120,-0.4418,51.53662872,63839.5315184489,115698715.359423
39,E38000084,NHS Hounslow CCG,512742,174962,-0.37847,51.46240997,61276.4975575189,55986971.4663649
40,E38000085,NHS Hull CCG,511894,431716,-0.30379999,53.76979065,64391.2164122782,71449075.3665854
41,E38000086,NHS Ipswich and East Suffolk CCG,618753,257475,1.197685,52.1721611,632596.199082682,2207701652.46169
