Country,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
MAR,0.458,0.464,0.468,0.474,0.485,0.489,0.499,0.503,0.511,0.52,0.531,0.542,0.553,0.564,0.573,0.581,0.588,0.596,0.603,0.609,0.618,0.627,0.636,0.646,0.653,0.66,0.669,0.675,0.676
AFG,0.298,0.304,0.312,0.308,0.303,0.327,0.331,0.335,0.339,0.343,0.345,0.347,0.378,0.387,0.4,0.41,0.419,0.431,0.436,0.447,0.464,0.465,0.479,0.485,0.488,0.49,0.491,0.493,0.496
AGO,,,,,,,,,,0.384,0.394,0.404,0.419,0.428,0.44,0.453,0.466,0.482,0.494,0.508,0.51,0.525,0.537,0.547,0.557,0.565,0.57,0.576,0.574
ALB,0.644,0.625,0.608,0.611,0.617,0.629,0.639,0.639,0.649,0.66,0.667,0.673,0.68,0.687,0.692,0.702,0.709,0.718,0.724,0.729,0.74,0.759,0.771,0.781,0.787,0.788,0.788,0.789,0.791
AND,,,,,,,,,,,0.759,0.767,0.78,0.82,0.826,0.819,0.829,0.829,0.831,0.83,0.828,0.827,0.849,0.846,0.853,0.85,0.854,0.852,0.857
ARE,0.723,0.735,0.738,0.745,0.755,0.764,0.765,0.766,0.769,0.776,0.782,0.787,0.792,0.798,0.803,0.809,0.814,0.819,0.821,0.819,0.821,0.826,0.832,0.839,0.847,0.86,0.863,0.864,0.866
ARG,0.707,0.714,0.719,0.725,0.729,0.731,0.738,0.746,0.752,0.763,0.77,0.775,0.77,0.775,0.775,0.777,0.801,0.806,0.81,0.81,0.818,0.823,0.823,0.824,0.825,0.828,0.828,0.832,0.83
ARM,0.633,0.629,0.585,0.59,0.6,0.604,0.614,0.625,0.637,0.644,0.649,0.653,0.663,0.672,0.681,0.694,0.708,0.724,0.727,0.724,0.729,0.733,0.737,0.743,0.746,0.748,0.751,0.758,0.76
ATG,,,,,,,,,,,,,,,,0.773,0.779,0.784,0.783,0.776,0.771,0.764,0.767,0.767,0.767,0.77,0.772,0.774,0.776
AUS,0.866,0.867,0.868,0.872,0.875,0.883,0.886,0.889,0.892,0.895,0.898,0.9,0.903,0.904,0.907,0.902,0.905,0.908,0.922,0.923,0.926,0.928,0.932,0.926,0.929,0.933,0.935,0.937,0.938
AUT,0.795,0.799,0.805,0.809,0.813,0.817,0.82,0.823,0.828,0.834,0.838,0.848,0.838,0.842,0.849,0.855,0.861,0.881,0.884,0.886,0.895,0.897,0.899,0.896,0.904,0.906,0.909,0.912,0.914
AZE,,,,,,0.612,0.612,0.618,0.627,0.634,0.641,0.649,0.658,0.667,0.674,0.681,0.707,0.712,0.721,0.734,0.732,0.731,0.736,0.741,0.746,0.749,0.749,0.752,0.754
BDI,0.295,0.298,0.294,0.294,0.291,0.287,0.283,0.283,0.287,0.288,0.293,0.294,0.304,0.312,0.322,0.329,0.351,0.363,0.375,0.391,0.402,0.41,0.416,0.422,0.429,0.427,0.427,0.421,0.423
BEL,0.806,0.81,0.825,0.838,0.845,0.851,0.857,0.862,0.866,0.868,0.873,0.876,0.879,0.882,0.885,0.889,0.896,0.899,0.899,0.899,0.903,0.904,0.905,0.908,0.91,0.913,0.915,0.917,0.919
BEN,0.348,0.354,0.358,0.365,0.368,0.373,0.377,0.381,0.385,0.391,0.398,0.41,0.419,0.426,0.434,0.44,0.447,0.455,0.462,0.468,0.473,0.479,0.489,0.5,0.505,0.51,0.512,0.515,0.52
BFA,,,,,,,,,,,0.286,0.29,0.296,0.303,0.312,0.324,0.333,0.344,0.357,0.366,0.375,0.385,0.394,0.401,0.405,0.413,0.42,0.429,0.434
BGD,0.388,0.395,0.403,0.411,0.419,0.427,0.436,0.444,0.453,0.462,0.47,0.479,0.485,0.492,0.499,0.506,0.514,0.521,0.524,0.535,0.549,0.559,0.567,0.572,0.572,0.588,0.599,0.609,0.614
BGR,0.694,0.691,0.691,0.69,0.691,0.697,0.702,0.704,0.71,0.709,0.712,0.722,0.729,0.738,0.745,0.75,0.756,0.764,0.771,0.774,0.779,0.782,0.786,0.792,0.797,0.807,0.812,0.813,0.816
BHR,0.736,0.755,0.756,0.764,0.768,0.775,0.779,0.781,0.784,0.786,0.792,0.792,0.792,0.793,0.792,0.792,0.793,0.796,0.796,0.794,0.796,0.798,0.8,0.807,0.81,0.834,0.839,0.839,0.838
BHS,,,,,,,,,,,0.787,0.788,0.79,0.789,0.79,0.791,0.794,0.794,0.794,0.793,0.795,0.795,0.797,0.797,0.796,0.799,0.8,0.804,0.805
BIH,,,,,,,,,,,0.669,0.675,0.681,0.686,0.692,0.7,0.706,0.713,0.72,0.72,0.714,0.722,0.741,0.748,0.754,0.755,0.765,0.767,0.769
BLR,,,,,,0.656,0.661,0.667,0.671,0.676,0.682,0.689,0.696,0.704,0.714,0.724,0.74,0.756,0.774,0.784,0.792,0.798,0.803,0.808,0.811,0.811,0.812,0.815,0.817
BLZ,0.613,0.618,0.624,0.627,0.627,0.627,0.627,0.63,0.631,0.636,0.643,0.647,0.655,0.663,0.668,0.666,0.676,0.678,0.683,0.688,0.693,0.699,0.706,0.707,0.71,0.715,0.722,0.719,0.72
BOL,0.54,0.549,0.555,0.562,0.57,0.578,0.585,0.587,0.599,0.608,0.616,0.619,0.625,0.629,0.63,0.632,0.638,0.638,0.647,0.651,0.655,0.66,0.663,0.673,0.678,0.685,0.692,0.7,0.703
BRA,0.613,0.62,0.626,0.634,0.642,0.651,0.657,0.664,0.67,0.675,0.684,0.691,0.698,0.694,0.697,0.7,0.701,0.705,0.716,0.718,0.726,0.73,0.734,0.752,0.755,0.755,0.757,0.76,0.761
BRB,0.732,0.733,0.733,0.737,0.743,0.747,0.751,0.757,0.756,0.764,0.771,0.77,0.774,0.778,0.782,0.786,0.791,0.796,0.799,0.801,0.799,0.802,0.811,0.812,0.812,0.812,0.814,0.813,0.813
BRN,0.768,0.773,0.778,0.783,0.788,0.791,0.794,0.797,0.798,0.803,0.805,0.806,0.809,0.815,0.82,0.824,0.827,0.827,0.828,0.831,0.832,0.836,0.843,0.844,0.845,0.843,0.844,0.843,0.845
BTN,,,,,,,,,,,,,,,,0.512,0.524,0.539,0.547,0.559,0.571,0.581,0.591,0.594,0.601,0.606,0.61,0.615,0.617
BWA,0.57,0.576,0.574,0.573,0.567,0.573,0.572,0.575,0.577,0.579,0.578,0.58,0.576,0.583,0.589,0.598,0.612,0.625,0.638,0.647,0.66,0.676,0.687,0.699,0.709,0.714,0.719,0.724,0.728
CAF,0.32,0.314,0.299,0.299,0.3,0.304,0.301,0.304,0.306,0.308,0.307,0.311,0.314,0.314,0.319,0.323,0.328,0.334,0.339,0.346,0.355,0.363,0.37,0.351,0.355,0.362,0.372,0.376,0.381
CAN,0.85,0.853,0.856,0.854,0.859,0.861,0.863,0.863,0.861,0.864,0.868,0.872,0.877,0.882,0.887,0.892,0.895,0.891,0.893,0.893,0.895,0.899,0.906,0.91,0.914,0.917,0.92,0.921,0.922
CHE,0.832,0.834,0.836,0.841,0.844,0.848,0.854,0.864,0.874,0.881,0.889,0.891,0.891,0.896,0.901,0.906,0.912,0.915,0.917,0.927,0.932,0.932,0.935,0.938,0.939,0.943,0.943,0.943,0.946
CHL,0.703,0.712,0.719,0.712,0.717,0.725,0.732,0.739,0.741,0.747,0.753,0.764,0.766,0.773,0.782,0.788,0.787,0.801,0.811,0.819,0.8,0.812,0.818,0.83,0.834,0.839,0.843,0.845,0.847
CHN,0.501,0.509,0.52,0.53,0.537,0.549,0.558,0.566,0.574,0.583,0.591,0.599,0.61,0.622,0.631,0.643,0.657,0.67,0.681,0.69,0.702,0.711,0.719,0.727,0.735,0.742,0.749,0.753,0.758
CIV,0.391,0.393,0.393,0.393,0.395,0.397,0.401,0.403,0.403,0.408,0.407,0.408,0.409,0.411,0.417,0.425,0.43,0.435,0.441,0.448,0.454,0.457,0.467,0.475,0.478,0.494,0.508,0.512,0.516
CMR,0.445,0.442,0.438,0.432,0.43,0.429,0.428,0.429,0.434,0.434,0.438,0.455,0.457,0.463,0.468,0.469,0.47,0.481,0.489,0.497,0.471,0.513,0.524,0.531,0.54,0.548,0.556,0.56,0.563
COD,0.377,0.371,0.369,0.364,0.334,0.333,0.337,0.334,0.334,0.331,0.333,0.333,0.34,0.349,0.357,0.364,0.372,0.382,0.393,0.4,0.416,0.419,0.423,0.429,0.441,0.445,0.453,0.456,0.459
COG,0.531,0.53,0.53,0.524,0.521,0.505,0.503,0.506,0.511,0.5,0.495,0.501,0.504,0.504,0.508,0.506,0.508,0.523,0.538,0.55,0.557,0.559,0.571,0.581,0.595,0.614,0.613,0.609,0.608
COL,0.6,0.603,0.613,0.621,0.628,0.633,0.643,0.651,0.658,0.658,0.662,0.664,0.667,0.666,0.68,0.693,0.7,0.713,0.72,0.724,0.729,0.735,0.736,0.746,0.75,0.753,0.759,0.76,0.761
COM,,,,,,,,,,,0.457,0.462,0.467,0.473,0.474,0.48,0.487,0.492,0.499,0.506,0.513,0.524,0.529,0.532,0.534,0.535,0.537,0.539,0.538
CPV,,,,,,,,,,,0.564,0.566,0.576,0.58,0.586,0.592,0.606,0.615,0.622,0.623,0.626,0.633,0.634,0.641,0.64,0.643,0.645,0.647,0.651
CRI,0.655,0.661,0.67,0.676,0.682,0.687,0.69,0.696,0.702,0.706,0.711,0.714,0.717,0.72,0.724,0.728,0.734,0.742,0.75,0.751,0.754,0.768,0.774,0.777,0.785,0.786,0.789,0.792,0.794
CUB,0.676,0.67,0.663,0.656,0.652,0.654,0.665,0.669,0.672,0.679,0.686,0.692,0.693,0.704,0.718,0.73,0.752,0.768,0.778,0.78,0.776,0.775,0.764,0.762,0.764,0.768,0.771,0.777,0.778
CYP,0.731,0.733,0.738,0.775,0.779,0.783,0.786,0.789,0.797,0.797,0.799,0.805,0.814,0.822,0.826,0.83,0.836,0.844,0.852,0.854,0.85,0.853,0.852,0.854,0.856,0.864,0.869,0.871,0.873
CZE,0.73,0.726,0.728,0.735,0.744,0.753,0.767,0.774,0.775,0.784,0.796,0.806,0.813,0.822,0.825,0.835,0.843,0.85,0.854,0.857,0.862,0.865,0.865,0.874,0.879,0.882,0.885,0.888,0.891
DEU,0.801,0.809,0.814,0.824,0.829,0.834,0.839,0.844,0.853,0.861,0.869,0.876,0.883,0.889,0.899,0.9,0.91,0.914,0.916,0.916,0.92,0.925,0.927,0.927,0.93,0.933,0.936,0.938,0.939
DJI,,,,,,0.353,0.351,0.355,0.356,0.36,0.361,0.37,0.376,0.386,0.394,0.402,0.414,0.424,0.432,0.437,0.446,0.451,0.459,0.467,0.475,0.482,0.489,0.492,0.495
DMA,,,,,,,,,,,0.694,0.698,0.697,0.702,0.704,0.706,0.711,0.715,0.721,0.721,0.733,0.733,0.731,0.73,0.732,0.729,0.729,0.723,0.724
DNK,0.799,0.804,0.809,0.815,0.824,0.83,0.837,0.843,0.849,0.861,0.863,0.876,0.883,0.894,0.898,0.903,0.905,0.904,0.909,0.906,0.91,0.922,0.924,0.926,0.928,0.926,0.928,0.929,0.93
DOM,0.593,0.597,0.606,0.613,0.618,0.624,0.63,0.637,0.643,0.648,0.653,0.657,0.662,0.663,0.666,0.675,0.682,0.689,0.692,0.694,0.701,0.704,0.708,0.712,0.724,0.733,0.738,0.741,0.745
DZA,0.578,0.582,0.589,0.593,0.597,0.602,0.61,0.619,0.629,0.638,0.646,0.655,0.666,0.676,0.685,0.694,0.699,0.708,0.711,0.72,0.73,0.738,0.737,0.746,0.749,0.751,0.755,0.758,0.759
ECU,0.642,0.645,0.649,0.653,0.657,0.661,0.663,0.667,0.67,0.667,0.669,0.674,0.679,0.682,0.687,0.692,0.695,0.706,0.711,0.712,0.716,0.742,0.74,0.751,0.75,0.758,0.756,0.757,0.758
EGY,0.546,0.551,0.557,0.563,0.569,0.576,0.584,0.591,0.592,0.605,0.611,0.616,0.621,0.623,0.629,0.635,0.643,0.651,0.659,0.66,0.666,0.669,0.676,0.681,0.683,0.69,0.695,0.696,0.7
ERI,,,,,,,,,,,,,,,,0.424,0.425,0.427,0.423,0.432,0.433,0.433,0.422,0.425,0.436,0.433,0.434,0.431,0.434
