LSOA11NM,LAD19NM,Decile
Barking and Dagenham 001A,Barking and Dagenham,2
Barking and Dagenham 001B,Barking and Dagenham,2
Barking and Dagenham 001C,Barking and Dagenham,4
Barking and Dagenham 001D,Barking and Dagenham,2
Barking and Dagenham 002A,Barking and Dagenham,4
Barking and Dagenham 002B,Barking and Dagenham,3
Barking and Dagenham 002C,Barking and Dagenham,5
Barking and Dagenham 002D,Barking and Dagenham,3
Barking and Dagenham 002E,Barking and Dagenham,4
Barking and Dagenham 002F,Barking and Dagenham,4
Barking and Dagenham 003A,Barking and Dagenham,2
Barking and Dagenham 003B,Barking and Dagenham,5
Barking and Dagenham 003C,Barking and Dagenham,5
Barking and Dagenham 003D,Barking and Dagenham,4
Barking and Dagenham 004A,Barking and Dagenham,2
Barking and Dagenham 004B,Barking and Dagenham,3
Barking and Dagenham 004C,Barking and Dagenham,2
Barking and Dagenham 004D,Barking and Dagenham,4
Barking and Dagenham 004E,Barking and Dagenham,4
Barking and Dagenham 006A,Barking and Dagenham,2
Barking and Dagenham 006B,Barking and Dagenham,2
Barking and Dagenham 006C,Barking and Dagenham,1
Barking and Dagenham 006D,Barking and Dagenham,3
Barking and Dagenham 006E,Barking and Dagenham,2
Barking and Dagenham 007A,Barking and Dagenham,2
Barking and Dagenham 007B,Barking and Dagenham,2
Barking and Dagenham 007C,Barking and Dagenham,3
Barking and Dagenham 007D,Barking and Dagenham,3
Barking and Dagenham 007E,Barking and Dagenham,3
Barking and Dagenham 007F,Barking and Dagenham,2
Barking and Dagenham 007G,Barking and Dagenham,2
Barking and Dagenham 008A,Barking and Dagenham,2
Barking and Dagenham 008B,Barking and Dagenham,2
Barking and Dagenham 008C,Barking and Dagenham,2
Barking and Dagenham 008D,Barking and Dagenham,3
Barking and Dagenham 008E,Barking and Dagenham,2
Barking and Dagenham 008F,Barking and Dagenham,2
Barking and Dagenham 009A,Barking and Dagenham,2
Barking and Dagenham 009B,Barking and Dagenham,3
Barking and Dagenham 009C,Barking and Dagenham,2
Barking and Dagenham 009D,Barking and Dagenham,2
Barking and Dagenham 009E,Barking and Dagenham,2
Barking and Dagenham 010A,Barking and Dagenham,4
Barking and Dagenham 010B,Barking and Dagenham,5
Barking and Dagenham 010C,Barking and Dagenham,3
Barking and Dagenham 010D,Barking and Dagenham,3
Barking and Dagenham 011A,Barking and Dagenham,4
Barking and Dagenham 011B,Barking and Dagenham,5
Barking and Dagenham 011C,Barking and Dagenham,6
Barking and Dagenham 011D,Barking and Dagenham,5
Barking and Dagenham 011E,Barking and Dagenham,5
Barking and Dagenham 012A,Barking and Dagenham,3
Barking and Dagenham 012B,Barking and Dagenham,2
Barking and Dagenham 012C,Barking and Dagenham,2
Barking and Dagenham 012D,Barking and Dagenham,2
Barking and Dagenham 012E,Barking and Dagenham,2
Barking and Dagenham 013A,Barking and Dagenham,2
Barking and Dagenham 013B,Barking and Dagenham,2
Barking and Dagenham 013C,Barking and Dagenham,3
Barking and Dagenham 013D,Barking and Dagenham,2
Barking and Dagenham 013E,Barking and Dagenham,2
Barking and Dagenham 013F,Barking and Dagenham,2
Barking and Dagenham 014A,Barking and Dagenham,3
Barking and Dagenham 014B,Barking and Dagenham,2
Barking and Dagenham 014C,Barking and Dagenham,1
Barking and Dagenham 014D,Barking and Dagenham,2
Barking and Dagenham 015A,Barking and Dagenham,3
Barking and Dagenham 015B,Barking and Dagenham,2
Barking and Dagenham 015C,Barking and Dagenham,3
Barking and Dagenham 015D,Barking and Dagenham,2
Barking and Dagenham 016A,Barking and Dagenham,5
Barking and Dagenham 016B,Barking and Dagenham,3
Barking and Dagenham 016C,Barking and Dagenham,3
Barking and Dagenham 016D,Barking and Dagenham,3
Barking and Dagenham 016E,Barking and Dagenham,4
Barking and Dagenham 017A,Barking and Dagenham,3
Barking and Dagenham 017B,Barking and Dagenham,2
Barking and Dagenham 017C,Barking and Dagenham,2
Barking and Dagenham 017D,Barking and Dagenham,3
Barking and Dagenham 017E,Barking and Dagenham,2
Barking and Dagenham 018A,Barking and Dagenham,3
Barking and Dagenham 018B,Barking and Dagenham,3
Barking and Dagenham 018C,Barking and Dagenham,2
Barking and Dagenham 018D,Barking and Dagenham,3
Barking and Dagenham 018E,Barking and Dagenham,3
Barking and Dagenham 019A,Barking and Dagenham,2
Barking and Dagenham 019B,Barking and Dagenham,3
Barking and Dagenham 019C,Barking and Dagenham,2
Barking and Dagenham 019D,Barking and Dagenham,2
Barking and Dagenham 019E,Barking and Dagenham,2
Barking and Dagenham 020A,Barking and Dagenham,2
Barking and Dagenham 020B,Barking and Dagenham,2
Barking and Dagenham 020C,Barking and Dagenham,3
Barking and Dagenham 020D,Barking and Dagenham,3
Barking and Dagenham 020E,Barking and Dagenham,3
Barking and Dagenham 021B,Barking and Dagenham,1
Barking and Dagenham 021C,Barking and Dagenham,2
Barking and Dagenham 021D,Barking and Dagenham,2
Barking and Dagenham 021E,Barking and Dagenham,2
Barking and Dagenham 021F,Barking and Dagenham,2
Barking and Dagenham 022A,Barking and Dagenham,2
Barking and Dagenham 022B,Barking and Dagenham,1
Barking and Dagenham 022C,Barking and Dagenham,3
Barking and Dagenham 022D,Barking and Dagenham,2
Barking and Dagenham 023A,Barking and Dagenham,2
Barking and Dagenham 023B,Barking and Dagenham,2
Barking and Dagenham 023C,Barking and Dagenham,2
Barking and Dagenham 023D,Barking and Dagenham,2
Barking and Dagenham 023E,Barking and Dagenham,3
Barking and Dagenham 023F,Barking and Dagenham,2
Barnet 001A,Barnet,9
Barnet 001B,Barnet,10
Barnet 001C,Barnet,7
Barnet 001D,Barnet,9
Barnet 001E,Barnet,7
Barnet 001F,Barnet,9
Barnet 002A,Barnet,3
Barnet 002B,Barnet,8
Barnet 002C,Barnet,8
Barnet 002D,Barnet,5
Barnet 002E,Barnet,7
Barnet 003A,Barnet,6
Barnet 003B,Barnet,9
Barnet 003C,Barnet,7
Barnet 003D,Barnet,9
Barnet 004A,Barnet,6
Barnet 004B,Barnet,4
Barnet 004C,Barnet,7
Barnet 004D,Barnet,2
Barnet 004E,Barnet,3
Barnet 004F,Barnet,7
Barnet 005A,Barnet,7
Barnet 005B,Barnet,6
Barnet 005C,Barnet,8
Barnet 005D,Barnet,7
Barnet 006A,Barnet,5
Barnet 006B,Barnet,4
Barnet 006C,Barnet,8
Barnet 006D,Barnet,6
Barnet 006E,Barnet,9
Barnet 007A,Barnet,7
Barnet 007B,Barnet,8
Barnet 007C,Barnet,8
Barnet 007D,Barnet,10
Barnet 007E,Barnet,4
Barnet 007F,Barnet,5
Barnet 008A,Barnet,9
Barnet 008B,Barnet,10
Barnet 008C,Barnet,7
Barnet 008D,Barnet,8
Barnet 008E,Barnet,9
Barnet 009A,Barnet,9
Barnet 009B,Barnet,9
Barnet 009C,Barnet,7
Barnet 009D,Barnet,10
Barnet 009E,Barnet,8
Barnet 010A,Barnet,8
Barnet 010B,Barnet,8
Barnet 010C,Barnet,2
Barnet 010D,Barnet,8
Barnet 010E,Barnet,4
Barnet 011A,Barnet,6
Barnet 011B,Barnet,9
Barnet 011C,Barnet,6
Barnet 011D,Barnet,8
Barnet 011E,Barnet,6
Barnet 012A,Barnet,7
Barnet 012B,Barnet,5
Barnet 012C,Barnet,10
Barnet 012D,Barnet,6
Barnet 012E,Barnet,6
Barnet 013A,Barnet,3
Barnet 013B,Barnet,4
Barnet 013C,Barnet,9
Barnet 013D,Barnet,6
Barnet 013E,Barnet,6
Barnet 013F,Barnet,8
Barnet 014A,Barnet,10
Barnet 014B,Barnet,7
Barnet 014C,Barnet,9
Barnet 014D,Barnet,4
Barnet 014E,Barnet,8
Barnet 014F,Barnet,9
Barnet 015A,Barnet,5
Barnet 015B,Barnet,6
Barnet 015C,Barnet,7
Barnet 015D,Barnet,6
Barnet 015E,Barnet,5
Barnet 015F,Barnet,7
Barnet 016A,Barnet,8
Barnet 016B,Barnet,8
Barnet 016C,Barnet,10
Barnet 016D,Barnet,6
