State Code,State,disease,Calendar Year,# Incidents Per 100000 Per Location,Vaccine has been introduced Flag
RI,RHODE ISLAND,SMALLPOX,1928,0,1
DE,DELAWARE,SMALLPOX,1928,1,1
VA,VIRGINIA,SMALLPOX,1928,0,1
AL,ALABAMA,SMALLPOX,1928,13,1
AR,ARKANSAS,SMALLPOX,1928,13,1
AZ,ARIZONA,SMALLPOX,1928,97,1
CA,CALIFORNIA,SMALLPOX,1928,19,1
CO,COLORADO,SMALLPOX,1928,34,1
CT,CONNECTICUT,SMALLPOX,1928,10,1
FL,FLORIDA,SMALLPOX,1928,11,1
GA,GEORGIA,SMALLPOX,1928,1,1
IA,IOWA,SMALLPOX,1928,67,1
ID,IDAHO,SMALLPOX,1928,81,1
IL,ILLINOIS,SMALLPOX,1928,24,1
IN,INDIANA,SMALLPOX,1928,107,1
KS,KANSAS,SMALLPOX,1928,134,1
KY,KENTUCKY,SMALLPOX,1928,29,1
LA,LOUISIANA,SMALLPOX,1928,31,1
MA,MASSACHUSETTS,SMALLPOX,1928,0,1
MD,MARYLAND,SMALLPOX,1928,1,1
ME,MAINE,SMALLPOX,1928,12,1
MI,MICHIGAN,SMALLPOX,1928,28,1
MN,MINNESOTA,SMALLPOX,1928,4,1
MO,MISSOURI,SMALLPOX,1928,41,1
MS,MISSISSIPPI,SMALLPOX,1928,7,1
MT,MONTANA,SMALLPOX,1928,156,1
NC,NORTH CAROLINA,SMALLPOX,1928,78,1
ND,NORTH DAKOTA,SMALLPOX,1928,12,1
NE,NEBRASKA,SMALLPOX,1928,107,1
NJ,NEW JERSEY,SMALLPOX,1928,2,1
NM,NEW MEXICO,SMALLPOX,1928,18,1
NY,NEW YORK,SMALLPOX,1928,2,1
OH,OHIO,SMALLPOX,1928,17,1
OK,OKLAHOMA,SMALLPOX,1928,167,1
OR,OREGON,SMALLPOX,1928,204,1
PA,PENNSYLVANIA,SMALLPOX,1928,1,1
SC,SOUTH CAROLINA,SMALLPOX,1928,17,1
