Date,Open,High,Low,Close,Adj Close,Volume
2015-01-02,413.950012,415.649994,404.149994,410.450012,290.639008,19207206
2015-01-05,408.000000,409.536011,387.799988,389.700012,275.946014,48914106
2015-01-06,391.000000,399.200012,382.700012,391.049988,276.901947,39403991
2015-01-07,393.049988,400.000000,386.200012,393.750000,278.813812,42160052
2015-01-08,400.299988,406.149994,395.750000,405.000000,286.779968,37480336
2015-01-09,404.899994,408.000000,395.799988,398.649994,282.283508,33007664
2015-01-12,399.200012,399.994995,390.549988,396.549988,280.796539,32326873
2015-01-13,392.399994,398.175995,384.812988,396.299988,280.619476,32208300
2015-01-14,391.100006,391.799988,379.299988,382.149994,270.599823,47314935
2015-01-15,391.600006,396.299988,376.700012,392.600006,277.999512,55518121
2015-01-16,392.250000,414.858002,385.385010,413.350006,292.692505,61106292
2015-01-19,413.700012,414.799988,407.250000,408.899994,289.541473,27652612
2015-01-20,410.500000,418.399994,408.250000,412.200012,291.878204,35119529
2015-01-21,413.799988,426.000000,404.097992,426.000000,301.650024,46821026
2015-01-22,431.549988,435.950012,425.250000,428.399994,303.349426,41172200
2015-01-23,432.700012,434.000000,423.000000,432.399994,306.181793,32130256
2015-01-26,428.000000,439.399994,417.500000,439.000000,310.855255,40094631
2015-01-27,439.000000,445.679993,430.350006,440.600006,311.988281,41562958
2015-01-28,443.049988,443.049988,428.692993,432.950012,306.571320,39868599
2015-01-29,424.600006,426.200012,418.049988,424.850006,300.835693,42822464
2015-01-30,425.850006,431.049988,420.049988,424.450012,300.552399,48713739
2015-02-02,430.450012,437.700012,426.350006,437.700012,309.934784,48135826
2015-02-03,459.450012,463.100006,428.850006,449.850006,318.538147,72458544
2015-02-04,450.000000,450.700012,437.600006,445.350006,315.351654,41632218
2015-02-05,441.250000,452.501007,434.851990,450.100006,318.715179,34601064
2015-02-06,451.250000,454.899994,446.750000,450.600006,319.069214,33548478
2015-02-09,449.350006,458.750000,447.149994,457.100006,323.671875,34913795
2015-02-10,455.799988,456.850006,442.700012,446.350006,316.059845,42714657
2015-02-11,448.000000,448.750000,440.399994,445.799988,315.670319,26417386
2015-02-12,439.299988,448.850006,439.160004,444.299988,319.386749,50451230
2015-02-13,444.750000,456.329987,444.000000,454.200012,326.503418,39397363
2015-02-16,454.200012,457.350006,449.899994,451.899994,324.850006,22031561
2015-02-17,449.000000,458.149994,447.500000,452.000000,324.921906,31877185
2015-02-18,456.200012,456.750000,447.450012,451.299988,324.418732,29386241
2015-02-19,448.100006,448.100006,440.200012,445.700012,320.393158,30864949
2015-02-20,446.000000,449.250000,442.149994,446.700012,321.112061,31763213
2015-02-23,450.000000,450.000000,440.850006,444.600006,319.602386,24771910
2015-02-24,444.899994,448.500000,442.250000,448.350006,322.298096,26724739
2015-02-25,447.350006,462.977997,445.549988,449.399994,323.052887,18737816
2015-02-26,449.200012,452.700012,446.000000,448.000000,322.046509,24948389
2015-02-27,447.100006,449.799988,445.399994,448.049988,322.082428,30312502
2015-03-02,447.700012,449.500000,442.799988,446.649994,321.076050,26288412
2015-03-03,448.149994,450.750000,446.250000,448.600006,322.477814,31708689
2015-03-04,453.000000,453.250000,446.690002,451.049988,324.238983,38273410
2015-03-05,452.250000,454.299988,445.131989,452.600006,325.353210,26614831
2015-03-06,451.000000,499.250000,441.957001,447.000000,321.327667,32460618
2015-03-09,445.149994,448.350006,432.248993,445.700012,320.393158,26524624
2015-03-10,444.899994,445.500000,428.100006,428.100006,307.741364,36729707
2015-03-11,430.850006,433.864014,423.299988,425.149994,305.620728,29376608
2015-03-12,426.450012,434.208008,424.750000,425.850006,306.123901,32319265
2015-03-13,426.200012,427.600006,415.988007,418.250000,300.660583,29671487
2015-03-16,421.600006,421.950012,413.750000,417.600006,300.193329,30319951
2015-03-17,419.399994,426.500000,404.049988,425.899994,306.159821,41975610
2015-03-18,425.149994,436.100006,423.399994,436.100006,313.492157,40014013
2015-03-19,438.000000,441.899994,434.399994,440.899994,316.942657,37206285
2015-03-20,442.000000,451.000000,436.950012,451.000000,324.203094,107732982
2015-03-23,449.049988,450.399994,431.778015,447.899994,321.974640,28839139
2015-03-24,447.149994,449.899994,444.149994,444.149994,319.278931,31647851
2015-03-25,442.500000,449.799988,440.069000,448.350006,322.298096,25051870
2015-03-26,449.000000,458.950012,444.299988,446.100006,320.680695,59179165
2015-03-27,445.649994,447.450012,438.248993,443.600006,318.883575,31456513
2015-03-30,446.350006,448.100006,443.121002,446.100006,320.680695,28630921
2015-03-31,447.450012,448.100006,418.735992,436.700012,313.923492,37357866
2015-04-01,437.799988,445.149994,437.250000,442.100006,317.805267,25009287
2015-04-02,443.700012,445.023987,438.000000,442.850006,318.344452,20899148
2015-04-07,450.000000,457.299988,446.250000,454.850006,326.970673,37525452
2015-04-08,468.299988,476.350006,456.700012,457.299988,328.731873,85533059
2015-04-09,457.899994,463.700012,450.350006,463.700012,333.332489,43840700
2015-04-10,465.950012,473.100006,462.488007,472.250000,339.478699,32900839
2015-04-13,470.200012,472.449005,465.096985,471.000000,338.580139,25583671
2015-04-14,468.000000,472.350006,466.799988,470.950012,338.544159,30898784
2015-04-15,470.500000,479.173004,469.500000,475.799988,342.030609,41544878
2015-04-16,479.100006,479.600006,470.850006,473.450012,340.341248,36986444
2015-04-17,474.399994,480.000000,473.500000,479.350006,344.582520,49267432
2015-04-20,479.750000,484.549988,479.118011,483.399994,347.493896,30145205
2015-04-21,482.450012,487.399994,479.665009,480.000000,345.049805,43279271
2015-04-22,480.450012,484.200012,475.000000,479.750000,344.870117,29213899
2015-04-23,481.350006,485.350006,480.250000,484.149994,348.033081,26140591
2015-04-24,484.149994,487.500000,477.100006,478.399994,343.899658,36573952
2015-04-27,477.350006,478.899994,471.200012,476.899994,342.821442,32689189
2015-04-28,480.000000,485.850006,471.049988,476.100006,342.246307,64846241
2015-04-29,473.450012,475.950012,465.200012,468.149994,336.531433,40355209
2015-04-30,470.100006,472.850006,466.100006,470.100006,337.933228,38341557
2015-05-01,469.500000,469.950012,466.350006,468.600006,336.854919,18680928
2015-05-05,475.700012,481.850006,471.054993,474.950012,341.419617,27802382
2015-05-06,473.600006,476.350006,469.000000,473.299988,340.233521,34456871
2015-05-07,466.450012,467.350006,454.399994,457.100006,333.184570,42674517
2015-05-08,461.450012,464.250000,458.100006,461.299988,336.245972,33876066
2015-05-11,460.549988,466.899994,457.350006,457.700012,333.621887,26390871
2015-05-12,454.149994,458.649994,451.200012,456.049988,332.419250,40564021
2015-05-13,456.000000,461.399994,453.799988,456.000000,332.382721,27419316
2015-05-14,454.350006,466.337006,451.100006,456.799988,332.965851,19548052
2015-05-15,456.200012,467.312988,449.980011,452.399994,329.758667,26021675
2015-05-18,450.649994,456.399994,449.200012,452.299988,329.685791,26639675
2015-05-19,454.500000,457.600006,448.089996,452.350006,329.722290,28684189
2015-05-20,451.200012,456.602997,445.549988,452.100006,329.540009,26462187
2015-05-21,450.899994,458.600006,450.600006,458.000000,333.840607,28951791
2015-05-22,458.899994,461.649994,456.750000,457.750000,333.658325,22676408
2015-05-26,457.750000,458.500000,449.250000,451.700012,329.248474,28740011
2015-05-27,452.000000,457.149994,450.399994,454.399994,331.216492,23281869
2015-05-28,453.049988,454.950012,449.399994,453.299988,330.414673,19784324
2015-05-29,453.000000,456.899994,449.635986,450.750000,328.556000,34072065
2015-06-01,452.250000,454.299988,446.600006,447.399994,326.114166,25069117
2015-06-02,450.000000,456.023010,442.248993,449.950012,327.972839,27661476
2015-06-03,450.000000,453.549988,447.200012,449.549988,327.681305,27032854
2015-06-04,447.649994,447.649994,439.850006,440.149994,320.829529,26387595
2015-06-05,438.500000,446.000000,435.399994,443.350006,323.162109,28788941
2015-06-08,444.200012,445.966003,437.700012,441.899994,322.105194,19899296
2015-06-09,443.500000,444.000000,438.149994,441.350006,321.704193,19248873
2015-06-10,440.000000,444.007996,439.750000,443.549988,323.307861,29431176
2015-06-11,443.649994,449.200012,442.537994,446.799988,325.676788,26769176
2015-06-12,443.750000,445.899994,436.399994,437.600006,318.970886,28390688
2015-06-15,436.000000,439.049988,430.942993,435.049988,317.112152,21333708
2015-06-16,435.500000,446.600006,429.299988,432.399994,315.180603,36440527
2015-06-17,433.500000,440.350006,432.000000,435.000000,317.075653,25693061
2015-06-18,435.100006,435.104004,430.678009,434.450012,316.674835,22906779
2015-06-19,432.600006,436.549988,429.649994,431.350006,314.415192,41744237
2015-06-22,436.049988,439.649994,434.549988,439.399994,320.282867,21651810
2015-06-23,439.600006,440.750000,436.200012,438.950012,319.954834,17454245
2015-06-24,438.850006,444.649994,436.549988,442.100006,322.250946,21193349
2015-06-25,443.250000,447.500000,440.149994,442.299988,322.396790,22125576
2015-06-26,442.399994,443.049988,437.049988,437.549988,318.934418,20290370
2015-06-29,428.799988,434.049988,427.149994,427.549988,311.645355,27762140
2015-06-30,427.600006,427.600006,420.149994,420.149994,306.251434,32718186
2015-07-01,425.000000,425.799988,417.993011,419.149994,305.522400,30738126
2015-07-02,420.700012,441.450012,419.350006,437.399994,318.825043,66373831
